star1,star2,angsep,separation,lnL1/L2,group_id,group_size
132,489,72.225,7.466,6.18,420,2
133,5716,338.585,7.950,6.80,421,2
134,5368,33.418,4.422,6.20,422,2
135,256,53.680,4.820,6.48,423,2
136,677,157.508,7.593,6.68,424,2
137,4835,225.088,9.619,7.19,425,2
138,531,84.496,6.758,6.07,426,2
139,10256,86.012,5.249,6.11,427,2
140,9277,113.154,4.429,6.03,12,23
140,1260,91.478,3.601,7.67,12,23
140,8109,187.057,7.391,6.43,12,23
140,9059,115.631,6.927,7.16,12,23
140,9643,196.854,7.680,6.31,12,23
140,10413,71.367,3.512,6.62,12,23
140,9070,88.778,3.792,7.78,12,23
140,2160,56.594,6.180,6.61,12,23
140,496,110.143,4.870,7.25,12,23
140,9151,130.261,5.195,6.78,12,23
141,895,2.105,0.557,7.23,428,2
142,10369,0.389,9.305,7.56,429,2
143,1297,88.236,8.242,6.39,13,22
143,10427,199.038,9.101,6.78,13,22
143,1542,201.591,8.810,6.11,13,22
144,4239,68.609,8.466,6.19,430,2
145,2779,11.321,0.632,7.24,431,2
146,5074,37.574,9.455,6.08,432,2
147,10549,47.835,6.553,6.17,433,2
148,1619,78.813,6.149,7.23,434,2
149,491,79.148,3.567,6.11,435,2
150,1899,8.867,5.879,6.67,436,2
151,3996,224.657,5.149,6.28,437,2
152,4452,106.606,9.452,6.12,438,2
153,445,108.048,8.174,7.63,109,3
154,3974,52.159,5.627,6.84,110,3
154,10445,110.930,9.311,6.77,110,3
155,9930,202.073,9.495,6.25,439,2
156,10442,265.165,8.269,9.89,440,2
157,10303,149.292,7.240,6.12,111,3
157,3698,211.794,8.408,6.09,111,3
158,159,0.135,0.963,6.70,441,2
160,9937,79.814,4.863,6.25,442,2
161,3351,148.539,9.538,6.16,443,2
162,221,38.709,6.689,6.53,24,10
162,9450,124.865,5.558,6.74,24,10
162,1880,148.648,6.660,6.88,24,10
163,5164,202.865,8.435,7.24,444,2
164,7362,180.139,5.958,7.09,445,2
165,166,0.075,9.277,6.37,446,2
167,964,81.871,7.689,7.01,65,4
168,2055,0.652,5.058,7.77,447,2
169,7590,320.725,6.663,6.39,448,2
170,3197,1046.455,9.600,6.18,449,2
171,3619,175.099,9.471,6.40,450,2
172,9347,180.150,9.197,6.74,451,2
173,3275,169.217,8.820,6.65,452,2
174,10119,94.951,8.469,6.52,453,2
175,484,47.731,3.263,6.03,454,2
176,242,70.190,4.001,6.90,455,2
177,10468,174.858,7.523,6.29,456,2
178,7873,128.019,6.697,6.07,457,2
179,4764,148.760,7.542,6.38,458,2
180,2761,112.724,4.409,7.12,459,2
181,4677,86.686,8.168,6.74,460,2
182,645,75.920,7.212,6.25,461,2
183,7127,0.819,3.946,6.48,462,2
184,8735,104.010,9.002,6.62,463,2
185,530,65.704,7.027,6.61,464,2
186,10446,207.524,6.031,6.32,465,2
187,8800,145.877,8.805,6.73,466,2
188,6516,113.062,6.022,7.52,467,2
189,10170,0.213,0.342,7.92,468,2
191,5320,91.282,6.478,6.19,1,125
191,5896,99.379,9.753,6.47,1,125
191,5285,136.993,8.046,6.44,1,125
192,6368,223.307,9.629,6.28,469,2
193,436,113.903,9.595,6.01,470,2
194,4790,237.746,6.992,6.23,471,2
196,10027,47.199,9.445,6.25,472,2
197,10585,197.586,7.451,6.32,473,2
198,5327,27.562,1.676,6.17,474,2
199,5546,67.021,8.213,6.58,475,2
200,1821,21.679,3.311,6.16,112,3
201,293,160.249,4.076,6.19,476,2
203,7623,150.030,7.492,6.15,477,2
204,1595,65.650,9.985,6.76,478,2
205,7842,195.357,8.865,6.05,479,2
206,2746,94.685,7.114,6.62,480,2
207,267,61.280,3.196,6.49,481,2
208,1573,80.106,5.259,6.05,482,2
209,2156,58.508,2.481,6.66,483,2
210,8832,90.850,4.654,7.58,484,2
211,2331,383.877,8.807,6.07,485,2
212,284,155.933,9.906,6.21,486,2
213,2137,250.930,9.602,6.40,487,2
214,5004,66.602,5.206,6.03,488,2
215,3541,170.967,2.334,6.60,489,2
216,9076,60.724,9.655,8.18,490,2
217,9069,172.134,9.384,6.00,491,2
218,447,24.199,2.843,6.49,492,2
219,7953,104.239,4.961,6.26,493,2
220,9929,258.176,8.947,7.48,494,2
221,446,253.072,9.936,6.33,24,10
221,9450,108.793,9.622,6.32,24,10
222,10576,25.551,4.226,7.89,495,2
223,9208,1434.083,5.715,7.05,496,2
224,7136,188.712,6.396,6.33,497,2
225,3032,114.201,5.266,6.11,498,2
226,7689,363.914,6.645,6.10,499,2
227,552,46.321,7.693,6.54,500,2
228,5507,1.379,5.986,7.48,501,2
229,9879,180.702,5.047,7.32,113,3
229,8467,232.532,5.813,6.85,113,3
230,3464,410.972,7.022,6.36,502,2
231,233,8.209,3.817,8.28,114,3
231,10502,72.965,6.681,6.18,114,3
232,426,1344.425,8.031,7.16,503,2
233,10502,79.413,3.459,7.07,114,3
234,8672,139.709,5.938,6.58,115,3
234,9580,140.215,6.860,6.28,115,3
235,8373,335.049,6.269,7.60,504,2
236,3204,144.411,9.535,6.41,505,2
237,7723,207.342,5.041,6.55,506,2
238,3018,61.433,5.059,6.28,507,2
239,9628,200.194,9.601,6.82,116,3
240,2183,74.213,9.166,6.09,508,2
241,2206,177.351,5.079,6.43,509,2
243,9825,183.332,8.831,7.04,510,2
244,620,125.546,6.894,6.52,511,2
245,1615,241.101,8.946,6.93,512,2
246,247,1.122,2.251,6.60,513,2
248,617,120.660,4.384,6.22,514,2
249,250,2.106,8.320,6.07,515,2
251,252,0.293,1.038,7.87,516,2
253,1337,60.314,4.592,6.30,517,2
254,255,0.144,0.621,7.06,518,2
257,287,46.132,5.689,7.51,519,2
258,4705,163.630,8.434,6.44,33,7
259,260,0.447,3.947,8.32,520,2
261,8370,33.043,3.261,6.38,521,2
262,540,190.449,8.575,6.77,522,2
263,8371,47.394,2.497,6.27,117,3
263,10388,172.831,8.947,6.25,117,3
264,6410,138.738,9.643,6.07,523,2
265,5337,67.756,4.756,7.00,3,114
266,3758,412.472,9.884,6.79,524,2
268,8478,128.050,7.640,6.53,525,2
269,3215,6.864,5.412,6.05,526,2
270,273,10.103,0.792,6.90,527,2
271,9770,280.172,9.538,6.23,528,2
272,7468,100.310,9.557,6.18,529,2
274,3485,106.724,5.784,6.63,530,2
275,303,173.248,8.939,6.07,531,2
276,1048,129.261,3.536,6.35,532,2
277,9547,233.352,7.125,6.27,533,2
278,1660,160.120,7.235,6.01,534,2
279,280,0.314,0.341,6.61,535,2
281,4816,92.030,7.207,6.63,536,2
282,7628,509.144,8.967,7.00,118,3
282,4978,297.802,6.706,7.58,118,3
283,6228,52.620,9.539,6.02,537,2
285,1187,77.084,7.449,6.01,538,2
286,3430,53.181,4.444,6.26,539,2
288,289,0.248,2.083,6.72,540,2
290,9054,120.168,8.173,7.05,541,2
291,7696,226.540,5.265,7.12,119,3
291,7697,226.777,5.976,7.55,119,3
295,9541,120.783,4.892,6.25,542,2
296,1564,262.488,8.078,6.16,543,2
297,3159,294.791,8.256,7.10,544,2
298,9735,250.873,5.524,6.20,545,2
299,9402,28.330,1.738,6.97,546,2
300,596,54.654,7.533,6.46,547,2
301,302,0.116,4.566,6.06,548,2
304,9340,137.376,4.900,6.71,549,2
305,3155,1.049,9.672,6.08,550,2
306,9758,345.187,4.499,6.33,551,2
307,3348,119.651,9.127,6.64,552,2
308,2252,157.853,9.514,6.21,553,2
309,3057,139.527,7.662,6.18,554,2
310,2887,0.985,1.364,7.92,555,2
311,688,185.122,9.159,7.43,556,2
312,3341,0.271,1.991,6.95,557,2
313,8659,294.197,9.076,6.28,558,2
314,9278,380.713,7.291,6.33,559,2
315,2788,48.681,7.710,6.94,560,2
316,7500,91.666,7.775,6.63,561,2
317,6627,150.011,7.260,6.71,562,2
318,2069,0.492,0.448,10.51,563,2
319,675,67.949,4.620,6.02,564,2
320,693,188.716,9.941,6.77,565,2
321,6944,214.307,9.596,6.23,120,3
322,5535,137.065,8.037,8.70,566,2
323,1054,102.018,4.382,6.29,567,2
324,1044,99.008,6.052,6.43,568,2
325,8625,222.646,8.534,6.42,105,3
326,571,78.805,7.147,6.33,569,2
327,7981,829.812,8.529,6.42,570,2
328,7386,133.407,5.614,6.65,571,2
329,7010,152.820,8.901,6.10,572,2
330,9195,182.362,7.089,6.24,573,2
331,10043,103.222,9.021,6.27,574,2
332,9826,221.190,6.919,6.07,575,2
333,7812,89.062,8.454,6.37,576,2
334,3536,50.859,2.177,8.34,2,118
334,3396,104.233,2.772,6.02,2,118
334,3730,236.691,3.736,7.78,2,118
334,4528,118.349,3.046,7.82,2,118
334,614,118.134,3.941,6.66,2,118
335,955,175.651,6.512,6.35,7,47
336,2152,154.367,8.220,7.24,577,2
337,4901,82.558,4.290,6.72,578,2
338,2215,88.478,9.128,6.31,579,2
339,2758,535.799,7.952,6.56,580,2
340,593,73.112,9.291,7.22,581,2
341,8281,90.364,9.892,6.26,582,2
342,2317,151.656,9.917,7.56,583,2
343,2939,97.848,6.535,6.19,584,2
344,345,0.101,0.234,6.71,585,2
346,5359,226.584,8.764,6.39,586,2
347,10428,255.512,7.488,7.04,587,2
348,602,112.473,4.714,6.11,121,3
349,4468,222.003,5.653,6.47,588,2
350,8158,57.276,8.799,6.40,589,2
351,10451,202.566,9.496,6.36,590,2
352,2262,0.892,4.406,6.71,591,2
353,430,127.858,4.373,6.96,592,2
354,1400,95.950,9.972,6.39,122,3
