star1,star2,angsep,separation,lnL1/L2,group_id,group_size
2657,5300,56.700,8.713,7.02,1,125
2657,5605,32.609,5.324,6.88,1,125
2657,6817,48.372,3.206,6.69,1,125
2657,7086,175.066,9.850,6.00,1,125
2657,5347,136.409,7.312,6.66,1,125
2657,6820,41.234,2.650,6.96,1,125
2657,6828,53.985,2.978,7.09,1,125
2657,2710,125.541,6.635,6.32,1,125
2657,6830,62.590,5.318,6.19,1,125
2657,6831,66.178,5.066,6.60,1,125
2657,5023,93.604,4.930,6.50,1,125
2657,6833,72.346,9.343,6.67,1,125
2657,7081,159.292,8.902,6.74,1,125
2657,6836,54.847,8.377,6.45,1,125
2657,5112,76.559,8.039,6.18,1,125
2657,5115,69.991,4.669,6.84,1,125
2657,4841,119.575,5.897,6.75,1,125
2657,5578,34.050,9.173,6.97,1,125
2657,2830,127.039,6.994,6.32,1,125
2657,9317,113.596,7.675,6.76,1,125
2657,6947,157.555,9.694,6.70,1,125
2657,5619,20.919,5.153,6.93,1,125
2657,6859,93.890,9.102,6.67,1,125
2657,2659,14.802,0.936,6.99,1,125
2657,5667,29.863,3.570,6.87,1,125
2657,6864,105.959,5.301,6.73,1,125
2657,4994,137.009,6.855,6.89,1,125
2657,5304,146.054,8.573,6.89,1,125
2657,5409,190.873,9.423,7.43,1,125
2657,6913,101.415,8.316,6.29,1,125
2657,2672,59.933,2.963,6.86,1,125
2657,6879,62.723,9.042,7.13,1,125
2657,6880,72.650,4.866,6.48,1,125
2658,8952,85.310,9.614,6.99,1930,2
2659,2677,68.746,4.051,7.07,1,125
2659,2678,70.878,7.908,6.19,1,125
2659,5072,62.416,4.761,6.82,1,125
2659,5115,77.855,5.350,6.64,1,125
2659,6815,32.132,9.808,6.55,1,125
2659,2830,115.178,6.206,6.36,1,125
2659,7077,153.751,8.079,6.33,1,125
2659,6836,45.019,8.791,6.66,1,125
2659,4994,151.783,7.668,6.44,1,125
2659,6804,29.529,7.609,6.88,1,125
2659,5023,107.558,5.404,6.38,1,125
2659,5605,18.569,5.730,6.16,1,125
2659,6947,154.700,9.924,6.46,1,125
2659,9317,104.902,7.774,6.46,1,125
2659,5619,25.388,5.774,6.84,1,125
2659,6864,101.018,5.179,6.70,1,125
2659,6859,89.288,9.492,6.65,1,125
2659,6817,43.103,2.630,6.48,1,125
2659,5409,199.493,9.798,7.23,1,125
2659,5667,15.088,2.772,6.21,1,125
2659,6913,98.588,8.701,6.02,1,125
2659,6820,45.408,3.197,7.17,1,125
2659,5300,48.672,9.151,7.04,1,125
2659,6828,53.488,3.256,6.83,1,125
2659,2710,110.740,6.191,6.49,1,125
2659,5347,144.049,7.882,6.99,1,125
2659,6831,66.528,5.532,6.08,1,125
2659,2672,45.247,2.254,6.97,1,125
2659,6833,70.349,9.847,6.07,1,125
2659,4841,129.376,6.402,6.87,1,125
2660,2728,70.139,6.698,6.14,77,4
2662,3732,189.537,6.210,6.56,3,114
2662,4878,54.002,3.685,6.71,3,114
2663,4947,145.879,6.695,7.08,159,3
2664,8451,137.766,8.141,6.09,5,59
2665,9596,0.107,6.925,6.06,1931,2
2666,5709,0.298,0.322,7.77,1932,2
2668,2791,103.909,8.243,6.17,1933,2
2669,3694,68.181,6.249,6.10,1934,2
2670,8012,51.424,5.884,6.10,1935,2
2671,3317,102.883,7.188,6.03,1936,2
2672,2677,23.580,2.187,7.05,1,125
2672,2678,25.634,6.833,6.89,1,125
2672,6991,110.336,6.345,6.47,1,125
2672,6800,57.574,3.915,7.04,1,125
2672,4994,196.314,9.785,6.18,1,125
2672,2956,163.203,9.161,6.08,1,125
2672,6804,71.136,7.958,6.89,1,125
2672,5072,103.358,6.085,6.96,1,125
2672,7077,170.097,8.957,6.54,1,125
2672,7081,179.105,9.887,6.59,1,125
2672,9317,82.578,6.789,7.09,1,125
2672,6817,50.603,3.137,6.72,1,125
2672,6913,97.183,8.374,6.14,1,125
2672,6820,73.026,4.095,6.79,1,125
2672,6828,68.680,3.734,6.91,1,125
2672,2710,66.447,4.145,6.94,1,125
2672,6831,80.112,5.707,6.87,1,125
2672,6833,76.691,9.644,6.57,1,125
2672,6836,35.877,8.339,6.36,1,125
2672,5112,123.001,9.104,6.18,1,125
2672,5115,107.131,6.289,6.40,1,125
2672,6815,52.671,9.693,6.29,1,125
2672,5578,61.947,9.281,6.77,1,125
2672,2830,79.651,4.908,6.57,1,125
2672,6879,85.621,9.716,6.95,1,125
2672,5605,31.340,5.528,6.85,1,125
2672,6947,148.164,9.454,6.96,1,125
2672,5619,65.214,6.205,6.66,1,125
2672,6859,83.683,9.050,6.84,1,125
2672,5667,30.745,3.377,6.95,1,125
2672,6864,92.489,4.688,7.17,1,125
2672,5300,55.588,8.916,7.10,1,125
2672,5347,168.463,8.879,6.83,1,125
2672,4841,160.053,7.893,6.84,1,125
2672,6880,106.266,6.334,6.30,1,125
2673,5578,64.731,7.198,7.56,1,125
2673,3211,180.219,8.495,6.05,1,125
2675,6836,28.051,9.008,6.59,1,125
2675,6815,50.186,8.153,6.15,1,125
2675,6859,72.827,9.806,6.89,1,125
2675,6841,50.627,3.622,7.22,1,125
2675,5123,142.948,9.349,7.16,1,125
2675,5108,120.113,7.334,6.54,1,125
2675,6801,69.300,9.325,6.67,1,125
2675,5323,146.485,7.948,6.11,1,125
2675,6892,92.254,5.879,6.63,1,125
2675,5300,67.742,9.283,6.09,1,125
2675,6921,97.431,9.739,6.01,1,125
2675,5331,167.555,9.085,6.03,1,125
2675,5595,39.989,5.855,6.35,1,125
2675,6833,68.365,8.959,6.36,1,125
2675,6811,35.525,2.515,6.01,1,125
2675,6848,58.617,3.876,7.07,1,125
2677,6836,51.756,6.816,6.89,1,125
2677,2678,2.920,4.864,6.81,1,125
2677,6991,129.072,6.588,6.17,1,125
2677,5023,175.407,9.293,6.26,1,125
2677,6817,68.823,5.072,6.19,1,125
2677,6800,81.079,4.130,6.36,1,125
2677,5300,69.703,7.500,6.80,1,125
2677,7037,173.088,9.628,6.02,1,125
2677,6804,94.519,7.106,7.76,1,125
2677,5115,127.398,6.542,6.49,1,125
2677,2830,68.224,5.889,6.29,1,125
2677,5072,126.420,6.475,6.79,1,125
2677,9317,81.523,5.416,6.05,1,125
2677,6879,104.050,8.652,6.04,1,125
2677,5619,87.473,5.578,6.51,1,125
2677,6913,106.657,7.319,6.23,1,125
2677,6815,73.810,8.361,6.66,1,125
2677,6859,92.275,7.732,7.37,1,125
2677,6947,152.491,8.662,7.74,1,125
2677,5667,54.021,5.548,6.21,1,125
2677,6864,98.786,4.970,7.20,1,125
2677,6820,94.095,4.686,6.89,1,125
2677,6801,90.116,8.032,6.06,1,125
2677,5605,53.680,4.382,6.55,1,125
2677,6828,86.907,4.333,7.32,1,125
2677,6921,113.212,8.995,7.02,1,125
2677,5347,185.947,9.353,6.60,1,125
2677,6831,96.887,5.342,6.10,1,125
2677,2956,140.356,7.421,6.17,1,125
2677,6833,91.184,8.379,6.12,1,125
2677,4841,179.836,9.046,6.29,1,125
2678,6991,131.911,7.555,6.01,1,125
2678,5072,127.963,7.347,6.51,1,125
2678,5123,166.829,9.958,6.87,1,125
2678,6892,113.647,9.296,6.48,1,125
2678,6800,82.923,5.821,6.75,1,125
2678,6801,91.931,5.040,6.72,1,125
2678,6992,133.388,7.322,6.50,1,125
2678,6804,96.257,4.949,7.01,1,125
2678,9317,79.596,4.270,6.85,1,125
2678,6817,69.366,9.304,6.04,1,125
2678,6913,105.784,5.418,6.64,1,125
2678,6820,95.084,6.782,6.29,1,125
2678,6824,101.387,5.589,6.61,1,125
2678,6828,87.365,6.787,6.83,1,125
2678,2710,42.080,4.707,6.99,1,125
2678,6921,111.679,6.107,6.11,1,125
2678,6830,97.248,5.405,6.06,1,125
2678,6831,97.069,5.591,6.23,1,125
2678,3479,175.794,9.182,6.15,1,125
2678,6836,52.100,3.036,6.46,1,125
2678,5115,128.151,7.318,6.37,1,125
2678,6841,71.266,8.763,6.88,1,125
2678,8975,114.633,8.098,6.04,1,125
2678,7037,170.687,8.753,6.58,1,125
2678,5595,50.055,5.513,6.55,1,125
2678,5605,56.133,3.190,6.77,1,125
2678,6947,150.929,7.755,7.01,1,125
2678,6833,91.040,5.146,6.59,1,125
2678,5619,89.983,4.806,6.46,1,125
2678,6859,91.347,4.869,6.92,1,125
2678,6864,97.561,7.494,6.36,1,125
2678,6879,104.491,5.736,6.89,1,125
2680,3264,135.709,9.839,6.48,1937,2
2681,2743,82.254,8.650,7.51,1938,2
2682,3401,78.717,6.558,6.46,182,3
2685,3312,0.347,0.346,8.28,1939,2
2686,2687,9.376,0.629,7.34,1940,2
2689,5451,70.446,3.062,6.81,1941,2
2691,2737,58.828,5.812,6.64,1942,2
2692,5333,105.772,8.550,6.24,1943,2
2693,3177,165.570,8.199,6.24,1944,2
2694,2695,0.192,1.217,7.67,1945,2
2696,3777,0.241,4.254,8.96,1946,2
2697,5184,572.863,8.207,7.73,1947,2
2698,2699,11.982,0.543,7.37,1948,2
2700,3483,118.242,7.431,6.13,1949,2
2701,2704,0.077,7.459,7.41,1950,2
2703,3007,102.213,7.341,6.33,1951,2
2705,7263,145.983,6.473,6.90,1952,2
2706,4007,119.127,6.616,6.46,1953,2
2708,2756,90.875,9.757,6.12,1954,2
2709,5633,590.098,5.497,7.37,1955,2
2710,6991,161.055,8.092,6.18,1,125
2710,5115,169.875,8.549,6.28,1,125
2710,3167,130.736,8.777,6.12,1,125
2710,6800,123.946,6.199,6.90,1,125
2710,5300,99.010,7.793,6.34,1,125
2710,7037,183.280,9.862,6.40,1,125
2710,6804,137.579,8.346,6.21,1,125
2710,2830,76.847,6.680,6.92,1,125
2710,6817,110.849,7.042,6.87,1,125
2710,9317,104.748,6.011,8.33,1,125
2710,5619,126.604,6.952,6.29,1,125
2710,6913,140.354,8.297,6.24,1,125
2710,6859,125.864,8.427,6.75,1,125
2710,5667,95.696,7.266,7.08,1,125
2710,6864,129.468,6.606,7.00,1,125
2710,6820,137.109,6.865,6.49,1,125
2710,6828,128.575,6.479,6.60,1,125
2710,6992,144.389,9.957,6.57,1,125
2710,5605,94.060,5.498,6.46,1,125
2710,6921,140.028,9.480,6.88,1,125
2710,5072,169.711,8.532,6.72,1,125
2710,6830,138.004,7.226,6.17,1,125
2710,6831,137.414,7.073,6.52,1,125
2710,2956,105.065,5.543,6.01,1,125
2710,6833,130.158,9.154,6.61,1,125
2710,6879,145.585,9.651,7.02,1,125
2710,6880,167.919,8.471,6.15,1,125
2711,8076,98.020,3.387,6.89,26,10
2711,8350,102.569,8.153,6.01,26,10
2712,3088,162.384,9.366,7.84,1956,2
2713,8784,187.668,9.871,6.27,1957,2
2714,7629,108.196,5.743,6.23,1958,2
2715,2813,178.275,9.678,6.19,1959,2
2716,4867,271.594,9.517,6.85,1960,2
2717,8434,69.255,5.620,6.52,1961,2
2718,3364,0.127,0.793,6.67,1962,2
2720,6781,29.556,8.279,6.37,1963,2
2721,2790,86.405,3.607,7.13,4,72
2721,6199,42.083,1.845,6.18,4,72
2722,3019,189.489,8.264,6.96,4,72
2722,7924,63.406,8.576,6.41,4,72
2722,6978,94.041,7.369,6.11,4,72
2723,4278,386.542,6.880,6.93,2,118
2723,5493,401.692,5.364,6.11,2,118
2723,3796,197.440,2.633,7.65,2,118
2723,3359,244.397,3.407,6.45,2,118
2723,3198,270.773,6.246,6.44,2,118
2723,10121,304.193,4.052,6.23,2,118
2723,5572,565.911,7.516,6.07,2,118
2723,5279,587.304,7.864,6.02,2,118
2723,3372,252.797,3.561,6.13,2,118
2724,2726,0.262,1.061,7.33,1964,2
2725,3769,109.326,6.216,6.44,1965,2
2727,9594,96.166,6.885,7.59,1966,2
2730,3878,88.760,8.934,6.56,1967,2
2732,5138,238.384,9.632,6.16,1968,2
2733,9998,462.245,8.981,6.65,63,4
2736,6814,97.472,5.722,6.07,1,125
2736,6851,78.963,6.286,6.54,1,125
2736,6848,76.529,4.197,6.37,1,125
2736,6811,83.058,4.591,6.02,1,125
2738,3732,194.041,6.726,6.12,3,114
2738,10535,113.636,4.605,6.45,3,114
2738,7929,136.273,7.375,6.70,3,114
2738,2754,25.797,2.700,6.13,3,114
2738,3798,219.009,9.427,6.18,3,114
2738,3929,93.610,3.670,6.43,3,114
2738,5901,299.946,9.610,6.03,3,114
2738,6764,269.196,9.065,6.36,3,114
2739,8845,436.350,8.525,7.07,1969,2
2741,4158,56.046,4.799,6.65,1970,2
2742,2983,105.063,8.663,6.18,1971,2
2744,8596,172.685,6.661,6.51,1972,2
2745,2770,137.755,7.705,6.10,1973,2
2747,3409,137.965,9.192,6.20,1974,2
2748,8387,139.530,7.081,7.16,4,72
2749,2908,39.865,3.536,6.51,1975,2
2750,6225,411.007,9.973,7.06,1976,2
2751,3006,52.893,3.575,6.39,1977,2
2752,5496,0.125,6.777,6.22,1978,2
2753,8933,71.350,6.294,6.14,1979,2
2754,7929,139.169,5.654,6.50,3,114
2754,3732,185.693,8.043,6.41,3,114
2754,4878,110.180,3.570,6.43,3,114
2754,3929,71.672,5.294,6.83,3,114
2757,2790,76.198,6.402,6.17,4,72
2757,2820,136.413,5.380,6.10,4,72
2757,2971,103.519,9.842,6.05,4,72
2757,2973,103.933,5.828,6.21,4,72
2759,9709,123.222,9.369,6.03,1980,2
2760,9155,171.688,8.485,6.46,1981,2
2762,2763,0.119,5.025,6.32,1982,2
2764,2913,114.665,4.898,6.29,4,72
2764,2765,12.929,9.978,6.28,4,72
2765,9017,111.983,7.254,7.09,4,72
2766,9516,92.461,9.067,6.87,1983,2
2767,6621,106.658,5.916,6.44,11,25
2767,2818,48.502,5.923,6.46,11,25
2767,2792,80.363,4.196,6.97,11,25
2767,6233,28.395,8.341,6.73,11,25
2767,6752,91.851,4.873,6.05,11,25
2767,2777,58.363,6.055,6.01,11,25
2767,2859,97.341,9.937,6.16,11,25
2768,5870,151.198,9.407,7.04,1984,2
2772,5512,136.580,7.770,6.53,1985,2
2774,5751,5.397,0.064,7.56,1986,2
2775,6158,132.283,8.402,6.48,1987,2
2776,3091,276.494,7.278,6.14,1988,2
2777,2792,40.372,5.405,6.25,11,25
2777,3667,22.515,5.494,6.17,11,25
2778,10411,117.286,5.961,6.84,1989,2
2780,7007,72.807,6.533,6.03,1990,2
2781,3280,116.963,7.123,6.53,1991,2
2782,7715,130.044,9.917,7.07,204,3
2782,4098,167.905,7.863,6.29,204,3
2783,3265,429.179,6.126,6.79,1992,2
2784,7489,415.678,6.506,6.01,1993,2
2785,6420,1.057,0.641,6.71,1994,2
2786,6746,126.594,6.920,6.91,1995,2
2787,8475,0.743,2.247,7.92,1996,2
2789,3497,99.106,8.347,6.19,1997,2
2790,10165,132.459,6.634,6.09,4,72
2790,2913,98.807,8.140,6.18,4,72
2790,2820,86.330,5.860,6.69,4,72
2792,6752,120.295,6.316,6.03,11,25
2792,2818,104.827,7.781,6.18,11,25
2792,2859,17.008,8.905,6.25,11,25
2792,6615,153.052,8.637,6.36,11,25
2792,6233,103.843,9.977,6.85,11,25
2793,2798,320.684,7.779,6.87,1998,2
2794,3081,257.747,5.776,7.15,1999,2
2796,4208,0.316,8.586,7.33,2000,2
2797,2843,105.745,6.148,6.17,4,72
2797,2853,52.483,3.816,6.06,4,72
2799,2800,0.395,6.171,6.06,2001,2
2802,3109,114.539,5.437,6.19,4,72
2802,2853,42.413,1.971,6.31,4,72
2802,2820,89.452,9.404,6.11,4,72
2802,2843,76.695,8.719,6.11,4,72
2803,5831,191.043,8.647,6.13,5,59
2804,2842,158.597,8.030,7.04,2002,2
2806,2824,59.421,5.161,6.79,2003,2
2807,3894,246.137,7.775,6.11,2004,2
2808,3080,83.983,8.192,7.46,2005,2
2810,5813,77.724,9.299,6.78,2006,2
2811,3076,409.051,9.024,6.52,2007,2
2814,3149,91.075,8.357,6.62,2008,2
2815,3839,72.240,5.812,6.34,2009,2
2818,6752,48.051,6.710,6.03,11,25
2818,6621,61.927,4.535,6.34,11,25
2818,2859,120.705,6.857,6.00,11,25
2818,6233,65.185,4.329,6.33,11,25
2819,3331,158.963,8.904,6.47,2010,2
2821,2888,6.407,2.562,7.38,2011,2
2823,4886,164.159,8.839,6.26,2012,2
2825,10163,247.712,8.271,7.35,42,6
2825,9738,117.487,3.782,8.57,42,6
2826,4149,214.100,8.592,6.13,2013,2
2827,2862,96.916,5.025,6.12,11,25
2827,6615,62.006,4.707,6.20,11,25
2829,6316,296.631,6.429,7.41,2014,2
2830,5112,159.025,8.547,6.17,1,125
2830,5072,153.491,9.815,6.44,1,125
2830,5115,136.673,9.250,6.16,1,125
2830,7112,162.867,8.326,6.23,1,125
2830,3229,111.078,8.298,6.25,1,125
2830,5578,140.051,8.826,6.26,1,125
2830,5330,165.332,8.029,6.73,1,125
2830,9317,36.501,8.577,7.17,1,125
2830,6800,120.094,8.190,6.53,1,125
2830,7077,162.682,7.869,6.49,1,125
2830,6817,86.200,4.318,6.64,1,125
2830,5667,104.802,5.069,6.50,1,125
2830,6864,67.293,5.220,6.82,1,125
2830,6820,113.668,7.437,6.29,1,125
2830,5605,108.204,9.880,6.28,1,125
2830,6830,101.607,9.054,6.45,1,125
2830,6831,98.808,8.594,6.63,1,125
2830,4841,180.646,9.416,6.37,1,125
2830,6880,132.203,9.194,6.34,1,125
2830,7146,179.685,8.968,6.59,1,125
2831,5024,114.955,7.407,6.51,2015,2
2833,10162,257.128,9.860,6.12,2016,2
2834,4965,78.642,7.416,6.17,2017,2
2837,6583,38.982,9.225,6.22,2018,2
2838,8374,183.089,9.765,6.35,2019,2
2839,8023,54.805,8.431,6.11,2020,2
2840,3921,400.294,5.343,6.92,2021,2
2841,7113,54.468,6.927,7.12,2022,2
2844,6326,118.425,5.234,6.12,2023,2
2846,8047,142.883,9.880,6.51,2024,2
2847,8496,163.001,8.261,6.08,2025,2
2848,4301,48.056,5.699,6.78,2026,2
2850,2851,0.334,1.373,9.81,2027,2
2852,8562,170.966,9.227,6.49,2028,2
2853,3109,80.816,4.895,6.54,4,72
2855,5765,96.868,6.294,6.50,205,3
2855,3187,151.651,9.149,6.70,205,3
2856,2935,50.551,7.555,6.16,2029,2
2857,2858,0.601,0.879,12.66,2030,2
2859,2862,15.941,3.195,6.15,11,25
2859,6233,120.430,5.992,6.14,11,25
2860,2914,47.925,4.370,6.75,2031,2
2861,5056,665.467,8.507,6.24,2,118
2862,6615,154.362,8.171,6.55,11,25
2862,6617,132.170,6.679,6.11,11,25
2863,3118,112.219,9.000,6.99,2032,2
2864,3469,171.360,8.658,6.45,2033,2
2865,2866,0.454,9.210,6.57,2034,2
2867,5654,43.777,4.792,6.40,2035,2
2868,5857,32.697,9.761,6.52,2036,2
2869,3229,199.003,9.327,6.37,1,125
2870,2871,0.838,2.930,9.84,2037,2
2873,6587,3.408,1.945,7.35,2038,2
2874,2875,0.206,0.026,7.25,2039,2
2876,5075,110.916,9.284,6.01,2040,2
2878,3823,94.530,7.667,7.05,2041,2
2879,4589,644.357,9.442,6.37,2042,2
2880,2891,11.881,0.510,8.76,2043,2
2882,3746,203.988,9.508,6.06,2044,2
2883,9622,2.337,5.605,6.52,2045,2
2884,8993,145.855,7.717,7.22,2046,2
2885,4986,168.046,9.535,6.20,18,14
2886,3722,81.286,5.789,6.95,2047,2
2890,5067,531.739,9.955,7.15,2048,2
2892,3916,1.628,5.418,6.66,29,9
2894,3352,163.927,9.361,6.45,2049,2
2895,5562,105.197,5.079,6.11,47,6
2897,8615,0.963,0.913,8.55,2050,2
2898,4815,92.421,4.277,6.37,48,6
2898,10110,197.054,9.753,6.40,48,6
2898,4516,159.334,6.053,6.04,48,6
2898,9993,82.636,9.424,6.62,48,6
2899,2900,2.284,3.086,6.19,2051,2
2901,8851,75.981,3.737,6.40,193,3
2902,10553,82.833,9.355,6.33,2052,2
2903,3484,175.130,6.249,6.08,2053,2
2904,3021,88.987,5.257,6.90,2054,2
2905,6133,285.262,8.177,6.58,2055,2
2906,5405,358.473,9.886,6.08,2056,2
2907,9343,1.976,8.878,6.68,2057,2
2909,2910,0.550,5.833,8.61,2058,2
2911,3066,84.053,7.120,6.01,2059,2
2912,9318,90.320,7.628,6.03,206,3
2913,8206,61.805,9.758,6.23,4,72
2918,3024,59.743,5.104,6.74,2060,2
2921,2922,1.625,0.151,6.91,207,3
2921,8829,135.653,6.592,6.09,207,3
2924,4201,106.839,7.544,6.77,2061,2
2925,8050,0.901,5.288,6.12,2062,2
2926,5292,4.351,2.573,7.42,2063,2
2927,9203,93.753,7.538,7.43,2064,2
2929,5494,105.192,4.459,6.39,186,3
2931,8981,30.153,6.626,6.26,2065,2
2932,6682,363.259,8.907,6.05,2066,2
2936,7233,1.195,0.259,8.27,2067,2
2937,5772,3.573,0.917,10.46,2068,2
2940,2971,83.676,4.379,7.00,4,72
2940,2973,87.318,3.646,6.30,4,72
2941,5538,193.535,9.962,6.32,2069,2
2942,2964,34.403,7.556,6.43,26,10
2942,3847,143.432,9.459,6.51,26,10
2943,6809,39.684,3.734,6.48,40,7
2945,3376,203.143,8.633,6.86,2070,2
2946,7467,126.274,6.941,7.06,2071,2
2947,8557,214.726,5.809,7.64,2072,2
2948,5190,150.320,9.383,7.56,2073,2
2949,6329,191.213,5.331,7.23,167,3
2951,3231,146.433,9.621,6.54,2074,2
2953,3082,99.019,7.175,6.05,2075,2
2956,6836,176.678,9.835,6.17,1,125
2956,9317,149.892,7.680,6.32,1,125
2956,3237,110.505,8.561,6.22,1,125
2956,7037,174.461,9.014,6.19,1,125
2956,3146,26.415,5.532,6.30,1,125
2956,6992,143.194,8.880,6.39,1,125
2956,7275,151.510,9.118,6.20,1,125
2958,2959,0.212,2.411,7.83,2076,2
2960,9355,0.251,0.204,6.18,2077,2
2961,3678,118.562,6.336,6.42,2078,2
2962,10558,22.574,6.311,6.10,2079,2
2964,4017,246.583,9.792,6.15,26,10
2965,7982,133.340,9.650,7.31,2080,2
2966,8965,126.273,8.460,7.40,2081,2
2968,4988,105.028,8.707,6.94,2082,2
2969,4683,0.811,2.490,7.62,2083,2
2970,4556,269.444,8.416,6.12,2084,2
2971,2973,6.841,4.781,7.04,4,72
2972,7827,206.797,8.997,6.54,2085,2
2974,3995,125.931,7.437,6.45,2086,2
2975,3022,51.148,7.558,6.60,2087,2
2976,10477,69.209,3.006,6.39,2088,2
2978,3793,379.335,8.299,6.14,2089,2
2981,5739,206.029,9.328,6.57,2090,2
2982,9158,227.377,8.896,6.08,2091,2
2984,7944,45.188,6.159,6.91,2092,2
2985,3350,101.334,7.011,7.24,2093,2
2987,8633,55.582,2.660,6.83,2094,2
2988,10276,24.120,1.901,6.92,2095,2
2989,9459,28.315,1.421,6.69,2096,2
2991,8207,248.315,7.211,6.63,2097,2
2992,5753,110.985,9.772,6.05,2098,2
2993,2995,48.682,9.877,6.57,2099,2
2994,5991,396.845,8.266,6.41,2100,2
2996,4519,173.416,8.762,6.16,3,114
2996,3249,212.469,8.506,6.15,3,114
2996,8048,212.901,6.912,6.17,3,114
2996,4081,149.597,5.095,6.17,3,114
2997,2998,3.092,0.657,7.18,2101,2
3000,10090,209.704,9.955,7.27,2102,2
3001,9994,909.353,8.847,6.56,2103,2
3002,7617,257.805,7.081,6.29,208,3
3005,3033,74.901,6.109,6.27,2104,2
3008,7658,136.369,9.872,6.95,209,3
3009,4688,51.384,9.121,6.25,210,3
3010,3168,89.023,6.784,6.60,211,3
3010,8000,124.447,8.090,6.36,211,3
3011,6834,137.896,9.024,6.40,2105,2
3012,7548,158.804,8.315,6.37,2106,2
3013,10398,33.944,3.282,6.15,2107,2
3014,6978,94.958,4.312,6.21,4,72
3014,3025,31.228,2.893,6.42,4,72
3014,8206,150.401,6.831,6.18,4,72
3016,10165,58.151,8.283,6.36,4,72
3017,3744,171.692,8.052,8.40,2108,2
3019,3439,96.021,4.913,6.66,4,72
3019,3025,45.604,8.925,6.79,4,72
3019,8206,111.823,7.484,6.30,4,72
3020,4772,0.638,9.544,6.68,2109,2
3026,3365,58.002,7.151,6.13,2110,2
3027,3998,223.002,7.115,6.10,212,3
3028,6749,104.678,8.509,6.19,2111,2
3029,9452,184.627,9.299,6.01,2112,2
3030,9830,190.015,5.275,6.61,2113,2
3031,3323,165.824,2.997,7.36,213,3
3034,8685,87.310,5.881,6.92,2114,2
3035,6532,179.127,7.799,6.25,2115,2
3041,3042,1.306,3.108,7.44,2116,2
3043,3712,38.441,7.248,6.10,2117,2
3045,8897,207.161,6.616,7.07,2118,2
3046,5426,18.125,9.884,6.08,2119,2
3047,5620,83.513,7.020,6.72,214,3
3047,8916,111.136,5.958,6.07,214,3
3048,7960,0.153,6.746,6.84,2120,2
3050,6857,85.104,6.200,6.35,2121,2
3052,3253,152.443,4.917,6.41,2122,2
3053,9039,277.821,8.960,6.41,2123,2
3054,8347,110.909,8.551,6.97,2124,2
3055,4302,57.494,7.502,6.69,2125,2
3056,7975,170.903,7.645,6.18,2126,2
3058,9269,117.491,6.176,6.28,2127,2
3059,3060,3.027,1.091,6.99,2128,2
3062,8081,0.574,2.231,7.57,2129,2
3064,4530,64.909,9.430,6.61,2130,2
3065,6632,790.071,9.956,6.34,2131,2
3067,3262,65.589,5.161,6.07,2132,2
3068,3069,1.243,0.043,8.61,2133,2
3070,7564,91.607,2.698,6.18,2134,2
3071,7432,118.026,4.781,6.00,7,47
3072,5867,91.856,4.304,6.47,2135,2
3078,9140,61.017,5.583,8.26,2136,2
3079,5696,31.243,7.686,6.34,0,151
3079,6232,93.674,3.821,6.49,0,151
3083,3998,93.493,5.637,6.10,212,3
3084,3085,6.934,0.574,8.11,2,118
3085,7666,508.598,9.629,6.12,2,118
3086,6475,133.641,8.035,6.06,2137,2
3087,8230,0.068,2.493,6.17,2138,2
3090,8152,262.775,7.226,6.38,2139,2
3092,7996,200.480,9.596,6.02,2140,2
3094,8294,3.869,4.739,6.21,2141,2
3095,3165,159.491,9.805,6.02,2142,2
3096,9279,173.888,9.925,6.37,2143,2
3098,7084,331.444,7.093,7.35,2144,2
3099,5840,105.307,8.268,6.14,2145,2
3101,8878,139.351,8.333,6.13,2146,2
3103,9474,103.133,4.019,6.70,2147,2
3104,3105,0.038,0.818,6.08,2148,2
3106,8966,266.125,9.865,6.11,2149,2
3107,3318,83.460,6.698,6.21,2150,2
3109,8567,112.118,6.460,6.02,4,72
3110,3371,180.480,8.658,6.29,2151,2
3112,9461,340.854,8.546,6.39,2152,2
3113,6000,85.981,4.916,6.44,2153,2
3114,10128,128.555,9.930,6.21,2154,2
3115,9579,102.321,5.167,6.29,2155,2
3116,4211,295.694,6.607,6.61,2156,2
3117,4329,35.515,5.896,6.22,2157,2
3119,4794,102.092,7.211,6.39,2158,2
3120,5669,316.217,9.450,6.91,2159,2
3121,3738,64.845,8.944,8.18,2160,2
3122,9411,110.573,4.947,6.26,2161,2
3123,5852,369.110,6.583,7.00,2162,2
3124,3125,0.532,0.241,6.82,2163,2
3127,4320,340.943,8.334,6.82,2164,2
3128,7699,95.895,6.879,6.75,2165,2
3129,5263,242.977,7.747,7.01,2166,2
3130,3237,137.875,8.771,6.31,1,125
3131,7783,607.501,9.338,6.68,2167,2
3132,5015,42.141,9.374,6.06,2168,2
3133,8096,191.591,7.942,6.07,2169,2
3134,6188,79.113,9.241,7.14,2170,2
3135,8329,419.208,6.464,7.37,2,118
3136,10107,203.048,6.109,7.18,2171,2
3137,4998,134.207,6.877,6.67,2172,2
3138,3235,28.494,2.187,6.15,2173,2
3139,5346,446.837,9.881,6.26,215,3
3139,6705,103.554,7.189,8.51,215,3
3140,10076,0.166,2.109,6.80,2174,2
3142,3143,2.752,0.452,7.87,2175,2
3144,5610,31.148,9.890,6.25,2176,2
3145,6514,169.260,6.382,6.02,2177,2
