id,size,mean_ra,mean_dec,mean_distance
170,3,39.633435,29.904975,300.595
171,3,35.546963,-77.996515,103.193
172,3,342.753990,-63.603837,119.380
173,3,230.661840,-45.222100,139.422
174,3,328.928288,52.824254,278.518
175,3,118.175278,-64.034321,219.254
176,3,64.499624,-44.516899,92.778
177,3,255.805048,-68.920446,122.465
178,3,33.395369,48.523646,75.889
179,3,40.270336,28.874594,40.395
180,3,152.696077,71.177976,125.412
181,3,155.985141,46.595504,144.394
182,3,129.717355,31.845925,132.569
183,3,353.103758,16.113789,220.296
184,3,334.120649,55.572877,231.289
185,3,286.655884,4.236889,101.224
186,3,184.601036,-47.234630,138.277
187,3,14.402920,70.787898,76.166
188,3,121.064027,62.163271,142.586
189,3,251.121462,25.908095,52.639
190,3,228.962804,-42.049696,191.156
191,3,155.607104,-44.270350,221.563
192,3,219.989115,-64.528333,93.716
193,3,241.528043,-20.069016,167.645
194,3,196.214038,23.359457,95.266
195,3,185.629846,-64.398110,69.303
196,3,238.748132,54.502583,106.063
197,3,204.571190,2.010684,65.284
198,3,340.184063,54.334123,204.431
199,3,68.953697,-16.708477,200.558
200,3,206.796727,58.662622,112.021
201,3,116.260438,-59.639688,33.034
202,3,98.436454,-45.680278,96.886
203,3,235.070968,-19.487908,167.018
204,3,82.603684,24.555941,158.283
205,3,285.363868,-75.965392,193.078
206,3,1.622715,60.257575,200.772
207,3,308.810027,-57.409982,141.743
208,3,114.694829,74.471608,72.167
209,3,48.297252,-66.773644,181.079
210,3,273.676237,-75.718133,120.133
211,3,133.059316,-42.496679,166.030
212,3,249.272998,28.594588,94.933
213,3,169.169780,16.696467,58.347
214,3,328.228011,79.880206,185.374
215,3,11.147907,52.199995,69.075
216,3,292.166428,25.911275,49.256
217,3,171.266260,-38.858620,143.934
218,3,61.323282,50.565526,84.217
219,3,102.489448,-43.771523,141.278
220,3,48.095473,66.427041,209.449
221,3,203.133336,-60.329097,208.602
222,3,72.969654,-34.237397,59.695
223,3,94.328449,-41.702092,158.480
224,3,50.089583,24.265120,105.384
225,3,114.679881,-3.438507,14.146
226,3,171.686928,17.663493,76.244
227,3,337.145821,69.667161,68.756
228,3,35.853898,60.863265,163.231
229,3,154.458187,-42.243886,85.288
230,3,231.488401,-25.502565,121.249
231,3,116.382404,-38.480829,166.121
232,3,294.908080,16.681554,126.508
233,3,302.135699,-52.563568,98.379
234,3,154.523795,-32.695448,174.263
235,3,196.227462,-61.794073,141.506
236,3,146.745880,-38.991297,193.505
237,3,214.989161,-32.982531,122.656
238,3,281.196010,-53.895814,136.038
239,3,120.758250,83.979673,121.639
240,3,156.819137,30.063107,90.231
241,3,94.424823,-28.140428,98.362
242,3,120.563105,25.985404,45.953
243,3,348.619131,47.236981,29.012
244,3,196.557267,-30.598728,234.457
245,3,212.941643,-18.651579,88.174
246,3,65.799412,-61.452704,99.293
247,3,316.363841,-48.696770,228.664
248,3,75.398391,-69.398008,84.090
249,3,302.426969,-71.174870,240.185
250,3,176.619480,-62.125963,310.983
251,3,304.593023,-68.336390,168.325
252,3,51.359279,48.745827,203.584
253,3,246.356080,-70.528631,248.531
254,3,34.792527,16.375028,130.893
255,3,122.281878,-48.741047,158.413
256,3,106.693816,-51.630515,201.589
257,3,187.496584,0.171521,106.347
258,3,77.182660,-44.657127,62.140
259,3,119.139774,-60.779405,432.658
260,3,64.980307,28.621151,127.616
261,3,108.497224,-46.240722,262.389
262,3,206.128767,-71.024906,162.549
263,3,299.574519,-68.117977,313.450
264,3,311.732447,36.912707,112.482
265,3,85.648366,80.005266,80.224
266,3,217.469020,-56.124425,107.450
267,3,239.100523,54.475723,219.238
268,3,225.479340,-70.699469,196.151
269,3,173.612405,78.264895,124.964
270,3,85.867892,-20.018048,72.324
271,3,53.387773,-20.974238,115.432
272,3,346.094109,51.930782,110.892
273,3,255.989271,23.625571,137.026
274,3,253.032944,43.682826,19.210
275,3,65.094378,-26.654539,197.107
276,3,126.364594,-50.897581,121.931
277,3,130.388710,-62.987989,121.209
278,3,345.919311,-57.858626,70.860
279,3,175.079625,34.031737,92.051
280,3,146.276121,-40.298947,102.812
281,3,168.936843,36.781172,59.053
282,3,355.922805,25.995039,185.314
283,3,176.483643,-17.701901,181.761
284,3,250.804138,-32.634881,157.725
285,3,74.610053,17.772003,112.805
286,3,52.869407,38.126059,75.354
287,3,182.503832,75.373645,139.427
288,3,133.781398,-64.219448,188.236
289,3,26.583639,18.902943,72.969
290,3,54.783026,-15.565496,49.803
291,3,313.871443,54.514810,206.659
292,3,206.261632,-48.125549,65.455
293,3,229.731167,-61.662927,82.899
294,3,148.184928,-70.040327,163.389
295,3,137.392674,-32.079413,154.681
296,3,71.382622,-59.145950,93.891
297,3,222.253870,-32.485273,159.907
298,3,170.390763,32.264601,66.008
299,3,338.259387,-29.363955,44.912
300,3,255.261575,-31.080005,127.664
301,3,340.711854,-51.050889,109.785
302,3,283.384255,68.280956,186.541
303,3,233.963857,74.278843,171.842
304,3,214.895915,-53.083203,126.419
305,3,68.634273,5.320141,171.063
306,3,172.416183,-61.408148,157.356
307,3,25.492809,-27.622871,41.510
308,3,209.904571,-70.148206,141.875
309,3,262.734982,-71.912950,339.640
310,3,252.122672,51.552396,237.553
311,3,77.449296,26.885304,84.360
312,3,78.306169,26.348963,140.564
313,3,127.010424,-51.007131,135.222
314,3,84.711362,9.330909,82.641
315,3,116.537775,-37.775352,194.122
316,3,208.123804,-53.327043,135.224
317,3,77.962208,-17.013844,201.676
318,3,15.764983,-51.659505,140.681
319,2,20.744619,-49.480922,103.598
320,2,42.626680,24.794357,94.943
321,2,83.497775,38.894119,140.789
322,2,251.459532,24.215530,259.194
323,2,95.235736,-57.493877,99.494
324,2,182.399181,56.592121,176.875
325,2,168.847198,-52.497059,258.267
326,2,176.518346,13.505813,161.730
327,2,290.645439,16.061903,234.288
328,2,144.589271,42.311473,170.376
329,2,296.679924,36.514234,192.811
330,2,176.372402,-36.219247,65.371
331,2,304.932141,-19.588743,74.719
332,2,11.988207,18.513773,107.938
333,2,336.630142,31.058860,178.059
334,2,253.628483,67.069406,239.709
335,2,13.306325,66.301336,172.919
336,2,254.306874,-37.163390,142.901
337,2,318.211725,55.581674,192.460
338,2,221.736365,-28.042951,177.021
339,2,117.447543,-74.628787,129.164
340,2,357.478600,36.691234,294.623
341,2,17.720137,-23.462750,260.798
342,2,182.499137,-38.538998,32.537
343,2,309.501034,-42.836233,92.292
344,2,259.653372,-1.190554,55.163
345,2,313.972090,43.486189,130.201
346,2,64.975134,-9.398492,16.325
347,2,102.842497,-26.500999,141.419
348,2,309.657128,-40.090798,144.159
349,2,283.284928,23.927483,98.858
350,2,239.425659,-29.095829,125.585
351,2,1.244564,34.594670,260.538
352,2,340.545265,37.136157,181.953
353,2,38.991334,27.207502,29.480
354,2,78.237209,-81.416893,63.214
355,2,136.032156,45.833756,199.568
356,2,316.960126,-37.001738,66.582
357,2,124.912207,-70.832309,291.896
358,2,317.275594,-39.980193,295.979
359,2,56.242691,68.538854,288.562
360,2,115.747259,-46.803176,107.991
361,2,25.622951,-45.465117,151.150
362,2,324.235053,-4.678395,85.825
363,2,185.261194,-38.307318,68.529
364,2,273.036126,-63.926357,244.618
365,2,227.318279,72.454710,222.862
366,2,183.625489,-38.913149,187.485
367,2,285.598836,-0.322311,84.345
368,2,128.789075,-36.258538,179.847
369,2,97.661796,-43.591209,127.961
370,2,49.084699,31.020312,24.342
371,2,228.811424,-12.531046,90.112
372,2,185.302493,43.072096,115.308
373,2,271.900937,-63.902187,198.090
374,2,254.318200,60.630519,226.315
375,2,116.975181,-17.521846,126.880
376,2,154.204728,-69.376884,119.274
377,2,174.148538,15.058119,167.274
378,2,248.734519,54.548658,174.947
379,2,42.664728,-66.542102,224.925
380,2,5.607708,56.906235,162.108
381,2,31.904374,42.491705,127.064
382,2,14.775866,32.961977,169.553
383,2,19.669933,-22.820280,163.643
384,2,178.325660,-70.025347,297.728
385,2,180.126949,-7.061045,117.662
386,2,9.968457,-22.743863,74.824
387,2,119.822696,-56.547727,214.795
388,2,176.167242,15.841478,57.622
389,2,350.356957,32.537578,202.368
390,2,309.129186,47.440947,78.871
391,2,343.036142,57.839170,83.049
392,2,114.678933,5.374290,51.204
393,2,30.401788,24.088795,99.483
394,2,6.690239,65.530636,177.463
395,2,54.433096,1.197838,382.635
396,2,32.758018,-8.847303,77.158
397,2,155.316807,-26.267357,102.474
398,2,148.264927,-66.935871,219.403
399,2,269.187118,24.280722,191.955
400,2,258.189709,-12.946351,90.328
401,2,329.750649,-69.950780,318.410
402,2,356.919498,-0.458055,89.325
403,2,199.583062,-54.323982,145.753
404,2,340.945862,31.404018,209.765
405,2,298.725599,-20.444623,164.846
406,2,260.447544,-33.567847,137.285
407,2,256.495884,9.291259,11.728
408,2,20.374455,-20.891501,88.860
409,2,333.751277,-20.673187,173.350
410,2,323.987253,26.369793,216.008
411,2,126.139528,-70.161231,97.105
412,2,298.002316,38.030494,79.378
413,2,207.084297,40.413310,34.467
414,2,140.445483,46.824247,254.732
415,2,4.886258,-24.712743,107.282
416,2,62.574724,59.831117,191.550
417,2,298.235902,37.186776,240.883
418,2,234.867603,48.525797,229.762
419,2,74.971290,-15.931718,177.688
420,2,176.258661,-74.200991,321.740
421,2,219.382311,37.659749,80.659
422,2,136.082687,-57.975918,181.488
423,2,317.375457,-62.168439,302.628
424,2,311.650322,-38.003299,157.986
425,2,142.670539,46.329035,101.728
426,2,169.153182,-58.014165,158.473
427,2,33.300329,53.462191,209.615
428,2,115.231840,-24.604438,125.143
429,2,182.588109,-6.466137,163.042
430,2,38.232644,71.730634,199.936
431,2,100.185713,-64.435261,77.077
432,2,13.120137,-47.615430,169.385
433,2,168.831901,-59.137405,265.006
434,2,120.065579,65.550434,223.558
435,2,229.479577,-11.082725,146.625
436,2,316.334552,47.837328,380.365
437,2,57.808380,1.565808,78.488
438,2,206.762231,78.505710,156.977
439,2,241.969861,10.850476,131.082
440,2,50.318303,2.897361,67.509
441,2,66.259736,86.056313,126.867
442,2,251.656635,-77.478090,193.690
443,2,15.337030,35.188860,210.180
444,2,239.487534,-14.174576,105.581
445,2,1.641375,38.883388,105.926
446,2,41.301679,-67.002872,199.536
447,2,59.936794,48.145758,353.608
448,2,67.849298,-22.017614,56.425
449,2,127.755957,-33.722023,26.277
450,2,223.388214,1.457927,182.438
451,2,121.601008,-37.627931,175.523
452,2,217.239185,27.547001,147.892
453,2,246.706535,-67.477461,176.102
454,2,181.936589,-51.183941,189.407
455,2,263.028990,68.856007,143.343
456,2,219.802433,-40.721150,143.003
457,2,268.545584,46.654947,164.906
458,2,132.592898,72.503639,172.485
459,2,195.079581,-54.927995,130.405
460,2,325.877410,41.804764,214.624
461,2,146.139413,-62.938672,146.838
462,2,322.191608,-71.133195,172.363
463,2,192.541207,-40.459282,266.127
464,2,171.665182,-72.161286,250.150
465,2,243.526979,50.719717,75.380
466,2,8.049597,43.683320,203.327
467,2,219.234211,42.851756,151.711
468,2,106.227891,28.114889,82.725
469,2,229.320023,-11.590549,117.833
470,2,325.952791,48.370330,223.148
471,2,278.536732,77.583081,50.655
472,2,343.424429,29.844663,320.899
473,2,241.942867,11.724965,122.660
474,2,167.319521,-30.154186,204.477
475,2,288.746432,44.703244,283.062
476,2,7.363613,65.871117,71.440
477,2,214.496238,-41.240771,86.501
478,2,69.544236,-79.405265,295.134
479,2,205.858658,-70.177579,153.678
480,2,156.134713,-37.151883,188.181
481,2,207.520030,79.228077,168.235
482,2,298.078317,-5.247110,198.300
483,2,91.658462,20.663791,140.248
484,2,88.299302,-55.688477,168.292
485,2,106.862224,-32.214684,71.436
486,2,350.297731,-0.406675,117.257
487,2,310.065599,33.584941,129.909
488,2,145.734060,-63.832299,206.483
489,2,190.451877,-4.275512,46.919
490,2,225.979401,-28.748225,110.224
491,2,81.780915,37.414120,160.527
492,2,215.964709,-42.452388,257.421
493,2,73.100593,22.580755,147.794
494,2,24.242280,-19.392694,118.950
495,2,268.821786,-34.121495,295.520
496,2,57.443005,-13.817078,8.956
497,2,352.986741,28.924337,116.494
498,2,244.218982,-18.219655,114.174
499,2,323.962312,28.947726,60.428
500,2,30.621877,67.958437,184.837
501,2,152.668587,39.899446,57.929
502,2,314.712160,48.155084,56.893
503,2,180.467546,-21.427996,20.450
504,2,355.577861,-29.200914,60.094
505,2,63.034888,3.148905,137.409
506,2,279.602926,13.869379,82.944
507,2,123.893129,-46.198306,278.953
508,2,37.737688,-6.946891,260.484
509,2,12.404035,69.180749,98.452
510,2,146.294224,-64.615737,148.874
511,2,124.898829,-36.434501,155.225
512,2,182.015941,17.560434,106.014
513,2,261.318784,-40.525130,105.563
514,2,290.288889,32.265024,124.829
515,2,234.313476,-10.622286,302.247
516,2,45.570946,41.394139,63.713
517,2,43.506366,27.471680,113.445
518,2,123.401335,-45.959792,84.690
519,2,11.377989,-22.503497,82.734
520,2,53.813427,69.288551,151.264
521,2,72.317359,12.288350,231.504
522,2,64.300432,-51.507758,136.835
523,2,223.465147,-55.773423,201.916
524,2,4.665208,37.243523,67.339
525,2,265.834277,-71.708757,159.934
526,2,278.015667,-41.172616,114.016
527,2,283.143240,36.359463,108.583
528,2,179.593778,37.603977,111.427
529,2,94.914523,-0.498006,263.678
530,2,305.372844,28.366757,136.966
531,2,272.767872,-41.307105,143.331
532,2,129.307184,-31.276560,90.038
533,2,284.122307,-0.476790,97.067
534,2,140.902469,-38.347043,136.606
535,2,146.261330,-49.485851,57.506
536,2,91.198852,-18.723123,266.899
537,2,182.932513,-2.270371,201.120
538,2,78.116868,-22.071958,243.218
539,2,244.107336,-58.791821,270.416
540,2,116.467932,65.155455,88.261
541,2,32.116942,54.525062,225.486
542,2,222.563805,27.632728,123.544
543,2,318.726933,-59.606686,105.809
544,2,67.891869,-81.076555,89.139
545,2,82.207636,11.929604,67.405
546,2,68.629536,-8.508952,171.116
547,2,127.078432,-38.516562,165.110
548,2,227.264191,5.202469,203.314
549,2,68.899965,-9.068227,112.705
550,2,13.725862,87.814427,187.931
551,2,188.884716,-36.558414,44.807
552,2,288.141443,48.831379,220.250
553,2,216.888724,-63.134357,178.264
554,2,353.443983,54.015864,180.420
555,2,222.893742,-18.516770,83.304
556,2,232.579344,-8.604464,128.289
557,2,265.273076,24.515717,192.436
558,2,122.851126,55.167707,103.401
559,2,233.155941,-47.982954,57.125
560,2,353.648084,45.457366,284.481
561,2,123.985935,-58.352864,256.970
562,2,91.169375,-69.532647,63.570
563,2,42.714916,3.505829,103.862
564,2,38.841490,-64.065646,219.190
565,2,29.568768,45.460644,162.159
566,2,165.331025,-27.425772,101.103
567,2,67.655363,34.881101,137.720
568,2,111.644400,31.855788,119.207
569,2,261.727975,2.757596,147.011
570,2,331.459535,48.462251,32.319
571,2,192.521989,76.609212,142.226
572,2,88.088613,-19.505542,200.180
573,2,87.322745,-78.924426,130.793
574,2,252.216288,31.067061,299.908
575,2,117.500353,64.900403,96.649
576,2,326.995301,42.612855,134.292
577,2,120.829754,-52.489676,151.860
578,2,212.753212,-27.373864,153.449
579,2,358.852764,-49.373792,174.962
580,2,286.386195,-58.384225,49.643
581,2,335.082501,41.248468,321.572
582,2,180.937773,45.238932,180.765
583,2,205.916136,-38.402827,122.831
584,2,172.410739,-58.472734,223.660
585,2,179.162384,-5.226735,87.415
586,2,66.764364,70.762990,129.612
587,2,49.527500,25.745839,74.829
588,2,14.525711,-47.181974,81.176
589,2,282.678302,0.972677,170.902
590,2,244.330141,52.925412,161.160
591,2,170.557345,-58.379979,158.816
592,2,169.926921,-72.078491,117.040
593,2,179.153466,-4.610677,140.858
594,2,43.647082,-40.043264,104.915
595,2,33.958433,60.149266,162.643
596,2,190.910349,-39.467367,223.576
597,2,334.457535,-72.309956,142.805
598,2,305.707565,27.138684,137.654
599,2,134.943108,-49.979428,204.108
600,2,351.219028,-47.143014,301.351
601,2,195.635014,19.342851,99.104
602,2,108.484132,-50.571617,131.427
603,2,137.436980,44.402086,155.687
604,2,305.312974,23.831747,165.766
605,2,164.759712,63.284915,94.404
606,2,178.293156,-29.019447,130.311
607,2,242.444675,-76.691929,174.606
608,2,298.584783,1.941279,40.325
609,2,59.219229,7.850698,96.819
