Title: Co-moving stars in Gaia DR1:
  An abundance of very wide separation co-moving pairs
Authors: Semyeong Oh, Adrian M. Price-Whelan, David W. Hogg,
  Timothy D. Morton, David N. Spergel
Table: Catalog of candidate co-moving pairs
================================================================================
Byte-by-byte Description of file: datafile1.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label      Explanations
--------------------------------------------------------------------------------
   1- 19 I19    ---     sourceid1  Gaia source id of star 1
  21- 39 I19    ---     sourceid2  Gaia source id of star 2
  41- 44 F4.1   pc      Sep        separation between star 1 and 2
  46- 49 F4.1   ---     lnL1/L2    natural log of likelihood ratio
  51- 53 I3     ---     NCC        size of the connected component that the pair belongs to
  55- 58 I4     ---     IDCC       unique id of the connected component that the pair belongs to
  60- 63 I4     ---     IDMWSC     id of the closest Milky Way star cluster
  65- 69 F5.1   pc      dMWSC      distance to the closest Milky Way star cluster
  71- 72 A2     ---     OBAssc1    [A-L]? id of the OB associations if matched for star 1
  74- 75 A2     ---     OBAssc2    [A-L]? id of the OB associations if matched for star 2
--------------------------------------------------------------------------------
3314079503847287424 3314109912215994112  1.1  6.1 118    2  276   4.4 -- -- 
  64313218247427456   67618281484716544  9.9  8.5 151    0  228  12.5 -- -- 
1163845152628811264 4430483306715006976  9.5  7.3   2  875 1605  88.3 -- -- 
  65233784358231168   69917635172718720  9.4  6.4 151    0  228   8.2 -- -- 
 552604545436353920  553800573569293696  3.5  6.6   3  265 1803  58.1 -- -- 
5844994776647950848 5845522095555981184  7.8  6.6   2 3954 1720  45.2 -- -- 
 500123790292105088  500167805115680256  4.9  6.4  13   20  286   7.0 -- -- 
1047395017137586816 1047395017137586944  2.2  6.5   2 1577  286 138.8 -- -- 
5190223404598561024 5193679410162904704  8.2  7.1   2 2184 1203  23.1 -- -- 
 251154431747668096  441560399381392768  7.8  6.3 125    1  210  11.1 -- -- 
  47620260916592384 3312783557591565440  2.7  6.1 118    2  276   4.0 -- -- 
5239498739751922432 5239891677722958976  4.5  6.4  59    5 1459   4.5 -- -- 
6057825833685871616 6058204718536880000  8.0  6.1   2 1686 1720  87.7 -- -- 
5228028909330540800 5231000786182843392  6.0  7.0   7   34 1720  81.8 -- -- 
6273511978824631296 6273511978826224384  2.3  7.5   2 3573 1605  86.9 -- -- 
5317906150880166528 5318117325830884224  1.4  6.8  36    9 1267  16.2 -- -- 
5954345777873595520 5954345777873595904  0.3  6.7   2 4244 1578  92.3 -- -- 
  64971172877898496   65292230272755200  5.7  6.4 151    0  228  11.8 -- -- 
2253992308590539776 2260815602874601728  9.8  6.0   2 3888 1803 109.7 -- -- 
3015860476871399424 3017087256969088768  3.6  8.2   4   93  402  23.9 -- -- 
 105054041066940288  105669870657709568  4.7  6.2   2 4425   87  58.1 -- -- 
  65207705316826752   69811944617410688  4.2  6.8 151    0  228   2.0 -- -- 
  64928601162063744   66980358578521856  7.7  6.2 151    0  228   5.8 -- -- 
  68306094723718528   71296663272200320  8.3  6.2 151    0  228   1.9 -- -- 
3307844860597241088 3313689417734366720  3.3  6.3 118    2  276   2.7 -- -- 
  66570549979009280   66786500935624320  4.2  6.4 151    0  228   8.3 -- -- 
5242765320080496640 5243477837976758784  6.7  6.5   3  294 1459  23.5 -- -- 
 248376137662086784  249149025617941248  8.1  6.5 125    1  210  11.2 -- -- 
 243650127447860096  244858078409820032  9.8  6.7 125    1  210  39.0 -- -- 
4473767471728636416 4473767471728636544  1.4  7.6   2 3237 2132  76.2 -- -- 
5251991356506637568 5253452057710889216  3.1  6.7  59    5 1459  10.3 -- -- 
3313689417734366720 3314212063714381056  1.4  6.4 118    2  276   4.4 -- -- 
2440246451599600384 2440247035715152512  9.5  6.8   2 3820    6 119.9 -- -- 
5311227167497353728 5317551352220546048  5.5  6.1   2 4094 1197  10.2 -- -- 
3953900747569804928 4008706729289355520  5.4  7.4  47    8 1605   5.2 -- -- 
  64899017426872960   65207705316826752  3.7  6.9 151    0  228   5.6 -- -- 
