Title: Co-moving stars in Gaia DR1:
  An abundance of very wide separation co-moving pairs
Authors: Semyeong Oh, Adrian M. Price-Whelan, David W. Hogg,
  Timothy D. Morton, David N. Spergel
Table: Catalog of candidate co-moving pairs
================================================================================
Byte-by-byte Description of file: datafile1.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label      Explanations
--------------------------------------------------------------------------------
   1- 19 I19    ---     sourceid1  Gaia source id of star 1
  21- 39 I19    ---     sourceid2  Gaia source id of star 2
  41- 44 F4.1   pc      Sep        separation between star 1 and 2
  46- 49 F4.1   ---     lnL1/L2    natural log of likelihood ratio
  51- 53 I3     ---     NCC        size of the connected component that the pair belongs to
  55- 58 I4     ---     IDCC       unique id of the connected component that the pair belongs to
  60- 63 I4     ---     IDMWSC     id of the closest Milky Way star cluster
  65- 69 F5.1   pc      dMWSC      distance to the closest Milky Way star cluster
  71- 72 A2     ---     OBAssc1    [A-L]? id of the OB associations if matched for star 1
  74- 75 A2     ---     OBAssc2    [A-L]? id of the OB associations if matched for star 2
--------------------------------------------------------------------------------
3663438294093638912 3716716298249011840  8.9  6.0   3  197 1605  46.7 -- -- 
  43789768566924416 3312644881687518976  8.5  6.5 118    2  276   7.9 -- -- 
1608103444306993664 1608752431045679360  8.8  6.7  29   10 1605  53.6 -- -- 
  47965438847833600   49365082792386816  2.6  7.3 118    2  276   2.8 -- -- 
4008433603729046784 4008681509241392256  7.3  6.7  47    8 1605   1.5 -- -- 
5241109696086432640 5241132579670834816  4.0  6.5  59    5 1459   7.5 -- -- 
5001477699521618944 5004029769088500096  8.8  7.8   2 3748  213  57.7 -- -- 
3288303961991572096 3289654574587075712  8.5  6.3   2 1596  402  61.4 -- -- 
6079878772765868160 6080990447741576448  3.3  6.9 114    3 1578  53.1 C  C  
2353337616566408576 5043110741666693888  7.1  6.5   2  740    6  92.8 C  C  
  66507465499396224   70049473488842112  8.6  6.7 151    0  228  10.5 -- -- 
5046341244268062592 5048259685900145920  9.7  6.0   2  667  213  56.1 -- -- 
3307504218151520256 3314109912215994112  3.5  6.3 118    2  276   4.2 -- -- 
4027272223642432896 4028554357280030208  3.9  6.3   2 3817 1605 174.3 C  C  
4857866019051550976 4857866019051551232  1.3  8.7   2 1232  213  30.8 -- -- 
  64109911675780224   66838452861270272  5.9  6.3 151    0  228   5.1 -- -- 
 435647638163950848  441371523899475840  4.6  6.8 125    1  210   3.6 -- -- 
  64449729487990912   69964879813013248  9.3  6.3 151    0  228   8.6 C  C  
 232143188507760128  233087016161261824  5.9  6.4 125    1  210  34.4 C  C  
3919046057170192128 3951115581536881280  7.9  7.5   2 3531 1605  31.2 C  C  
  64380632054140416   66570549979009280  7.3  6.4 151    0  228   7.5 C  C  
5788355118769939584 5836666560181202176  8.1  7.6 114    3 1578  20.8 C  C  
  63144712265008512   65072431026899712  9.0  6.3 151    0  228   9.8 C  C  
5910872703020811392 5911772928168897536  8.3  6.1   2 2025 2149  77.2 C  C  
1544670625635882112 1548870279017535744  6.8  6.8   2  746 1605  39.4 C  C  
  64739244643463552   64808204638390912  7.1  6.4 151    0  228  15.4 C  C  
4008706729289355520 4008744250123486720  0.9  8.9  47    8 1605   1.9 C  C  
  65437640685532288   66453486350431232  5.6  6.9 151    0  228   7.1 C  C  
  64956123312029952   65819961494790400  5.7  6.3 151    0  228   4.1 C  C  
3310500078099136768 3311514205777562496  2.9  6.7 118    2  276   5.2 -- -- 
5814571324265738112 5815105755638661760  9.2  6.3  20   14 2149  82.4 C  C  
  45367052352895360 3311492799660064384  2.2  8.0 118    2  276   5.2 C  C  
  65437640685532288   66798492484311936  6.6  6.1 151    0  228   7.1 C  C  
1060279953385325312 1061100326499079936  8.1  6.3   2 3367  286  93.9 C  C  
  68317605236065408   70941383577307392  6.4  6.7 151    0  228   3.1 C  C  
  65221483571888128   68593342136568448  5.3  7.4 151    0  228   5.6 C  C  
6108561457719301248 6111637856894085888  2.0  6.7  22   13 1578  82.4 C  C  
6559718738185169536 6559821851760008704  3.9  6.3   2 2245    6 128.4 C  C  
  64956123312029952   66786500935624320  4.9  6.2 151    0  228   4.1 C  C  
 146483811000001920  146515937356158720  3.0  8.2   9   28  228  30.1 -- -- 
 441480409912850432  442921800934903424  9.3  6.8 125    1  210   2.0 -- -- 
 661386240158893568  661396754238802816  4.7  6.3  58    6 1195  11.2 -- -- 
 499156907254133760  500669629094798208  2.9  6.2   2 1236  286  57.2 -- -- 
3123163019215904256 3123163019217368576  9.2  6.1   2 1325  576  48.0 -- -- 
5053202093746929664 5053718005217758080  9.9  6.7   2 1128  213  81.0 C  C  
3048856064906588288 3054764874757086848  3.3  6.1   2 1651  402  50.0 C  C  
1464103808031348480 3956998690300563200  9.2  6.2  47    8 1605  12.9 C  C  
  65221483571888128   68317605236065408  3.6  6.1 151    0  228   5.6 C  C  
6533642479902659840 6533646122034926464  4.3  6.7   2 1032    6  69.2 C  C  
5916953414643615744 5922952315718903808  9.4  6.5   2 3053 1578  61.6 C  C  
  63502259702709888   66506331628024832  6.3  6.9 151    0  228   7.1 C  C  
6001011112940876032 6004078990901835392  6.9  6.5   3  190 2149  95.0 C  C  
 660225911794604416  664281494793527936  8.6  6.4  58    6 1195   7.2 C  C  
3304412597612195328 3311492799660064384  1.6  6.8 118    2  276   4.5 C  C  
  45367052352895360 3312136494998639872  2.1  6.2 118    2  276   5.2 -- -- 
 653544007834593152  654204779962569216  6.8  6.1   2 2441 1195  40.4 -- -- 
1612105323034716544 1660239880514871552  4.8  7.2   2 2341  286 179.6 -- -- 
 242888956163684096  248886001820685184  3.8  6.9 125    1  210   8.0 -- -- 
  63502259702709888   66789868189090816  8.2  7.2 151    0  228   7.1 -- -- 
3307504218151520256 3312136494998639872  3.8  6.7 118    2  276   4.2 -- -- 
1557669567495942016 1568227765340773504  6.8  7.7   2 1445 1605  93.0 -- -- 
3473536005863223296 3490573488291913856  7.5  6.0   2 1428 1605  75.7 -- -- 
4529589848868207232 4529589848868207360  6.3  7.9   2 3996 2132  89.3 -- -- 
  66507465499396224   68317605236065408  8.7  6.7 151    0  228  10.5 -- -- 
4938849139246378752 4939230807220113024  8.4  6.3   2  948  213  88.9 -- -- 
  64930490947667840   70252676982016768  7.6  6.8 151    0  228   6.6 -- -- 
3312783557591565440 3314109912215994112  2.3  6.3 118    2  276   1.9 C  C  
  64317994252099840   66729876086786944  8.9  6.1 151    0  228   7.1 -- -- 
1509783774521463424 1509783774521463680  3.0  8.7   2 4126 1605  58.3 C  C  
5246170163993645056 5251822100435455744  8.7  6.0  59    5 1459   9.8 C  C  
  63378976961208704   64109911675780224  5.1  7.0 151    0  228   9.0 C  C  
1314905508981559424 1339137233428866816  6.3  6.0   2 2917 2132 131.7 -- -- 
  65188085906203520   69335615566555904  8.7  6.4 151    0  228   6.2 -- -- 
  65120465942548864   70941383577307392  6.1  6.1 151    0  228   3.7 -- -- 
  45367052352895360 3313259165090609280  6.1  6.2 118    2  276   5.2 -- -- 
5937710063867047296 5940432351577525504  7.4  6.6   2 2382 2149  43.3 -- -- 
  43335532821872896   43335876419256448  0.0  7.4   2 1328 1803  31.1 -- -- 
4720376969081276544 4720376969081276800  2.2  7.6   2 2129 1203  58.1 -- -- 
6651324515093597568 6651324515093597696  0.6  6.2   3  238 2149  87.1 -- -- 
  63502259702709888   65194648616227840  8.0  7.0 151    0  228   7.1 -- -- 
6053440053600849664 6054576742472233472  4.7  6.3 114    3 1578  29.8 -- -- 
2042389921435496832 4508601271414326656  8.6  7.5   2 1141 1803  23.7 C  C  
  64380632054140416   65199974375696512  6.7  7.1 151    0  228   7.5 C  C  
  64930490947667840   69811944617410688  4.4  7.0 151    0  228   6.6 C  C  
5318499818442087936 5318567953805446400  3.4  6.2  36    9 1267  17.9 -- -- 
4514505958084322304 4515142850198518528  7.1  6.0   2 2059 2499 124.3 -- -- 
  65221483571888128   66745612851296256  5.7  6.8 151    0  228   5.6 -- -- 
4974561895392129664 4974561895392281216  4.3  6.2   2 2762    6  88.9 -- -- 
  65221483571888128   66471215975411200  9.4  6.2 151    0  228   5.6 -- -- 
4008820425663457792 4009041083903247488  2.0  6.5  47    8 1605   2.0 C  C  
  63144712265008512   67680850564641792  8.9  6.6 151    0  228   9.8 C  C  
 458913476006402816  459214192436590336  9.5  6.0   7   38  144  16.9 C  C  
 441463607998311808  442921800934903424  8.2  6.0 125    1  210   4.3 C  C  
3959212282084332544 4008820425663457792  4.0  6.2  47    8 1605   5.0 C  C  
  64317994252099840   65437640685532288 10.0  6.0 151    0  228   7.1 C  C  
 466485125392147712  467306598020125568  4.8  6.4   2 2670  210  42.7 -- -- 
3959212282084332544 4008433603729046784  5.5  7.4  47    8 1605   5.0 -- -- 
5318229269859699072 5318316096918509568  3.8  6.1  36    9 1267  15.7 -- -- 
 485768532118975104  496355832661809408  9.7  6.4   2 2565  286  13.2 -- -- 
 243068657596900224  441415504364607360  7.8  6.8 125    1  210   6.0 -- -- 
  64671899556831360   70049473488842112  9.5  6.2 151    0  228   7.6 -- -- 
5015973248505310208 5025218251509207424  8.9  6.4   3  307  276  49.3 -- -- 
 441356921010671232  441560399381392768  5.9  7.5 125    1  210   3.3 -- -- 
  63502259702709888   64449729487990912  8.3  8.1 151    0  228   7.1 -- -- 
  64172034082472448   65677368580114560  0.9  6.0 151    0  228  13.6 -- -- 
 249164418780724224  435429007149649920  4.6  7.2 125    1  210   2.3 -- -- 
4428978487612678016 4430570786609098624  5.4  6.5   2 2342 2132  96.0 -- -- 
3306922954457367936 3307504218151520256  1.5  6.1 118    2  276   5.1 -- -- 
5227508702893871872 5227859928139058944  4.4  7.0   2  592 1578  14.4 -- -- 
4726518497436239232 4743944038749857920  5.8  6.6  19   15  276  61.1 -- -- 
3202336102753459456 3204435482767266048  8.7  6.3   2 1001  402  76.0 -- -- 
  64317994252099840   64979728452744192  8.4  6.8 151    0  228   7.1 -- -- 
5443003601725181696 5443838268489611520  5.6  6.5   2 2192 1276  65.9 -- -- 
  63378976961208704   66715273197982848  8.1  6.1 151    0  228   9.0 -- -- 
5100454911619995136 5108377030337406080  8.0  6.0   2 3547  213  29.5 C  C  
 661290754445957248  662215546804136064  8.0  6.8  58    6 1195   7.4 C  C  
 244596497721602176  244788843539087104  0.6  6.8 125    1  210  18.3 C  C  
2264286039529174528 2265243095682022528  6.3  6.5   2 4458  286  97.0 -- -- 
 500167805115680256  500381969364820480  2.2  6.3  13   20  286  11.4 -- -- 
3901936006974149248 3902849460618662528  8.8  6.3   2 4302 1605  63.7 C  C  
  96498363134292992   98014039912761472  2.0  8.8   3  289  276  46.4 C  C  
6165391949584478208 6168602935853882752  8.5  6.2   2 2111 1720 108.0 C  C  
4008706729289355520 4009300946604526208  3.8  7.5  47    8 1605   1.9 C  C  
 241699525101944576  248924965763985280  9.0  6.2 125    1  210  12.5 C  C  
4599983744375462656 4599984637728659584  0.0 12.0   2 3331 1803  55.6 -- -- 
  66453486350431232   70108469159560448  6.3  6.4 151    0  228   2.5 -- -- 
3100792493076122240 3101092213075778432  8.9  6.1   4   77  618  60.8 -- -- 
5224212023432195072 5788542963461556864  7.5  6.9 114    3 1578   8.5 -- -- 
  65194648616227840   69964879813013248  5.0  6.5 151    0  228   4.9 C  C  
5238698467088998400 5239498739751922432  4.5  6.9  59    5 1459   7.2 C  C  
5239891677722958976 5239926827735288960  1.1  6.4  59    5 1459   1.9 C  C  
 249164418780724224  436477460205283584  9.7  7.1 125    1  210   2.3 -- -- 
1614554141588203264 1614719068332375040  5.4  6.5   2 3915  286 179.7 -- -- 
4002172366045267072 4008525241151501824  8.6  6.5  47    8 1605  10.1 C  C  
  69250231614573056   70234878637524480  8.5  6.0 151    0  228   8.4 -- -- 
5248191444323074176 5296667881200182912  8.6  6.7   4   97 1197  79.3 -- -- 
 441371523899475840  441486044909931136  3.7  6.6 125    1  210   2.1 -- -- 
5238698467088998400 5239849896277704960  7.3  6.4  59    5 1459   7.2 -- -- 
4933360548998814208 4975223835751143168  5.7  6.5   2  588  213  55.2 -- -- 
  64053561704835584   65027591568709632  4.6  7.4 151    0  228   7.8 C  C  
3311492799660064384 3312281664893305728  3.0  7.6 118    2  276   3.5 C  C  
  66789868189090816   68306094723718528  4.6  6.9 151    0  228   2.8 C  C  
5218840531173699712 5218919970890661120  3.6  6.7   2 4200 1459  57.4 C  C  
 243137067835529344  249087281167662464  7.3  6.5 125    1  210   4.9 C  C  
  64313218247427456   69819400680743808  8.5  6.6 151    0  228  12.5 C  C  
5248191444323074176 5296867683077531776  9.5  6.8   4   97 1197  79.3 C  C  
5385330231119385984 5397697331751411200  5.8  6.7   2 2333 1459  72.0 C  C  
6672684968004591104 6672967027096832128  9.2  6.5   3  166 1803  79.8 -- -- 
4714764443257804544 4911275277407667200  4.2  6.1  19   15  276  61.4 -- -- 
  51619115986889472   65819961494790400  8.3  6.9 151    0  228   9.9 -- -- 
4008364334496501504 4008525241151501824  1.8  8.9  47    8 1605   2.7 -- -- 
3312564033223630720 3313259165090609280  4.1  7.3 118    2  276   4.7 -- -- 
 441371523899475840  441645233577061248  3.0  6.6 125    1  210   2.1 C  C  
 824599326734033152  825008551217876736  8.4  6.3   2 1127 1195 119.4 C  C  
1992103963299121536 1992151551536872192  7.5  6.1   2 3034 2971  40.1 C  C  
  65017627244152064   70347028823074688  9.1  6.2 151    0  228  11.2 C  C  
  66581957412169728   69819022723623296  5.4  6.8 151    0  228   6.5 C  C  
  61519668439604992   69250231614573056  9.9  6.4 151    0  228   9.6 C  C  
  51619115986889472   66786500935624320  9.8  6.8 151    0  228   9.9 C  C  
6425463832948282880 6426078047632363008  6.9  6.2   2 3250 2328 192.0 C  C  
  64952824777149440   68322140721525760  4.4  6.4 151    0  228   5.5 C  C  
  66729257611496704   69948249699646720  6.1  6.1 151    0  228  12.0 C  C  
5221721870113448704 5221722557308216192  1.6  8.1   2 4389 1203  23.3 C  C  
6077114153854578560 6125097872083714304  8.3  6.8 114    3 1578  50.1 C  C  
5863352463301565952 6062016416096435968  7.8  6.1 114    3 1578  35.4 C  C  
3311492799660064384 3314109912215994112  3.9  6.4 118    2  276   3.5 C  C  
  51619115986889472   65188085906203520  8.2  6.5 151    0  228   9.9 -- -- 
6048580280925556608 6048675904078375680  3.1  6.5  72    4 2132  74.9 -- -- 
3311492799660064384 3313689417734366720  3.6  6.0 118    2  276   3.5 -- -- 
  64913448517448192   65188085906203520  2.0  6.8 151    0  228   7.2 -- -- 
5737678181169870848 5741062443598423040  6.3  6.0   2 2701 1605  82.7 -- -- 
3405113740864365440 3405988677241799040  0.9  6.3 118    2  276   5.1 -- -- 
6847368331679252864 6849645042305126144 10.0  6.9   2 3896 2454 122.2 -- -- 
2640222774601572096 2642425474348803840  6.4  6.9   2  402  276  89.7 -- -- 
 243137067835529344  441486044909931136  8.2  6.7 125    1  210   4.9 C  C  
 441560399381392768  442265083255962624  4.9  7.5 125    1  210   4.2 C  C  
 436493849800482048  436802640772120960  9.1  6.9 125    1  210  11.0 C  C  
 436802640772120960  441653239394337024  6.8  6.5 125    1  210   9.6 -- -- 
5239660367966484736 5251822100435455744  6.9  6.7  59    5 1459   5.0 -- -- 
 466614661605766016  491373567519279488  8.3  6.0   2 2690  286  56.1 -- -- 
1069124562358180480 1069124631077656576  2.1  8.1   4   73  286  76.5 -- -- 
 986757328823155968  988631755630980352  7.1  6.4  18   16  286  92.8 -- -- 
6388037968968109568 6389893429199543936  2.9  6.3   2 4436 1203  59.0 -- -- 
  64913448517448192   66786500935624320  3.3  6.2 151    0  228   7.2 -- -- 
6637933150663294720 6650026438540446208  5.9  6.1   2 1314 1578  77.9 -- -- 
 249199878029198208  249282100885527040  4.4  7.0 125    1  210   5.8 -- -- 
1140477506881605504 1142816889669069568  9.6  6.0   2 4159  286 119.1 -- -- 
1911195609893988352 1914496343802073088  5.8  6.8   2 3443   87 102.9 -- -- 
5318069600154320384 5321190151592875904  8.9  6.2  36    9 1267  17.1 -- -- 
2939772279364344448 2950022167275767424  9.9  6.1   2 2016  402  54.4 -- -- 
2320645734258792064 2320702187308925184  1.2  6.1  16   17    6   6.4 -- -- 
2984473165109820800 3008492889970839808  7.4  6.6   2 3033  402  65.0 -- -- 
  98692335507906432   98692610385813120  0.8  7.7   2 2226  276  30.2 C  C  
 243068657596900224  249199878029198208  4.7  6.7 125    1  210   6.0 C  C  
  66960258131598720   69811635379765760  6.5  7.0 151    0  228   7.4 -- -- 
6643123360941225984 6643293819604564224  9.5  6.5   2 3019 2149  80.0 -- -- 
6049967864602136960 6050516967581808768  3.9  6.6  72    4 2132  78.0 -- -- 
5239858726733859968 5241109867885123328  4.0  6.5  59    5 1459   1.8 -- -- 
 249199878029198208  441597954577636608  5.3  6.7 125    1  210   5.8 -- -- 
  64053561704835584   67618281484716544  9.2  6.6 151    0  228   7.8 -- -- 
  65194648616227840   66570549979009280  5.2  6.7 151    0  228   4.9 -- -- 
1088300457464386816 1095757001725745536  6.9  6.1   2  575 1803  79.5 -- -- 
1827089223842171776 2020394603641779712  7.1  8.2   2 1502 1803  89.6 -- -- 
 275849806505702656  276521539388958464  8.5  6.2   2  796  210  34.2 -- -- 
2320610721685102336 2320916763874909568  5.6  6.0  16   17    6   8.7 -- -- 
3953625835302703488 4003406533487752832  6.5  6.9  47    8 1605   6.0 -- -- 
 661281752195411328  661422764560767360  8.9  6.7  58    6 1195   4.7 -- -- 
 574807705290615296  574807705291129088  1.0  6.7   2  441  286  56.7 -- -- 
3639520617654659712 6340258141426424704  8.7  6.1   2 1613 1803  44.2 -- -- 
  65072431026899712   69819022723623296  7.8  6.9 151    0  228   4.9 -- -- 
 436455126375970304  441481165827089024  5.7  6.6 125    1  210   7.6 -- -- 
4315193430876045824 4316777380447288448  7.2  6.1   2 2117 2132 105.1 -- -- 
6010523469071998464 6011848483663879424  9.0  6.4   2 3168 2149  89.3 -- -- 
5311163808139828608 5317269945971084288  7.5  6.2  23   12 1267  11.0 -- -- 
1393462797287405184 1393463587561386496  4.9  7.8   2 3419 1605  67.5 -- -- 
  66555981449928832   69904097435804672  4.7  6.8 151    0  228   7.6 -- -- 
  67799185503558016   68444873706967808  4.1  7.0 151    0  228   8.5 -- -- 
3953816566210308864 4001595500398414848  7.5  6.3  47    8 1605   4.9 -- -- 
  69945810158924672   71371258264471424  5.3  6.4 151    0  228  11.1 -- -- 
6294400809966776704 6297555411906068608  4.3  6.6   2 4249 1605  82.6 -- -- 
  51694741770737152   64952824777149440  8.7  6.8 151    0  228  13.0 -- -- 
  66506331628024832   67369654414221952  7.0  6.3 151    0  228   2.6 -- -- 
  65089336018173440   66506331628024832  4.3  6.1 151    0  228   2.7 -- -- 
5239895629092870144 5252566023132496256  8.2  6.0  59    5 1459   4.9 -- -- 
5025218251509207424 5135093341825812480  6.3  6.1   3  307  276  46.5 -- -- 
4566243477729337344 4571207326052593280  6.2  6.1   2 3741 2132  94.2 -- -- 
  51694741770737152   65188085906203520  9.7  6.8 151    0  228  13.0 -- -- 
6130018289697379840 6148487198826545920  6.2  6.0   2 3488 1803  53.6 -- -- 
6540762092572481792 6545082657871538048  6.3  6.1   2 1176  213  89.0 -- -- 
  64928601162063744   66746437479801088  8.8  6.6 151    0  228   5.8 -- -- 
  64899017426872960   69948249699646720  6.2  6.5 151    0  228   5.6 -- -- 
 661281752195411328  662849896293859712  5.6  6.6  58    6 1195   4.7 -- -- 
 418147914175486208  419353013282033152  7.5  6.5   2 3827  210  82.8 -- -- 
1179022398821921408 1179022398821921664  2.0  6.2   2 1525 1605 154.2 -- -- 
1561660244948427136 1562168837795747840  6.6  6.2  29   10 1605  50.9 -- -- 
4008571351920493440 4008820425663457792  3.7  6.8  47    8 1605   1.8 -- -- 
  52548237672091392  149005266040519808  6.2  7.3 118    2  276   5.9 -- -- 
4815192838906057216 4864194120786195200 10.0  6.0   7   39  213  44.0 -- -- 
  68097015715726208   69917635172718720  9.8  6.1 151    0  228  11.1 -- -- 
5801100313961407104 5801257956441079808  3.7  7.4   2 1385 1578  39.8 -- -- 
  43538289638888064 3304412597612195328  8.8  6.4 118    2  276  11.2 -- -- 
  51914884614495744   52377985168822784  4.4  6.4   9   29  228  18.2 -- -- 
 444839624092540672  445171539164464512  9.3  7.3   2 3844  276  50.2 -- -- 
5685223401984148992 5689465180405137024  9.3  6.1   2 3719 1276 100.0 -- -- 
  65292230272755200   66453486350431232  6.5  6.3 151    0  228   6.4 -- -- 
  66657411397616128   66960258131598720  3.3  7.2 151    0  228   5.0 -- -- 
 249180396057550848  442609127315775744  9.9  6.3 125    1  210   2.8 -- -- 
  65776736943479808   69876712724339456  8.6  6.3 151    0  228  10.9 -- -- 
  51452746133437696   64913448517448192  9.4  7.0 151    0  228  10.7 C  C  
5336570738720115328 5342722574994401024  6.9  6.8   2 2165 1459  59.8 -- -- 
  64671899556831360   65221483571888128  5.5  6.7 151    0  228   7.6 -- -- 
1911759556279984256 1914736861968891520  8.2  6.1   2 3502   87  82.0 -- -- 
 249087281167662464  251154431747668096  7.7  6.1 125    1  210   5.0 -- -- 
  64933755122821120   65027591568709632  8.2  6.8 151    0  228  14.0 -- -- 
5318077915210988928 5321582711603786880  4.7  7.2  36    9 1267  16.9 -- -- 
5318316096918509568 5318486074546754048  4.6  6.5  36    9 1197  17.0 -- -- 
  66798492484311936   69250231614573056  7.0  6.7 151    0  228   2.5 -- -- 
  63730305286697600   65113559634339200  7.8  6.3 151    0  228  11.7 -- -- 
  64933755122821120   65221483571888128  8.6  7.2 151    0  228  14.0 -- -- 
4008390928933851264 4008867670304423424  1.7  7.5  47    8 1605   1.9 -- -- 
6459992243272362368 6462472707144756480  9.0  6.4   2 1416 1578  96.1 -- -- 
 145034963912239488  145049051404967680  0.5  7.2   9   28  228  24.3 -- -- 
 441582114738266368  441696326507978752  3.7  6.8 125    1  210   5.4 -- -- 
  63730305286697600   64913448517448192  5.1  6.6 151    0  228  11.7 -- -- 
 680661778505429248  680662568779409920  4.1  7.1   2 4183  402  72.6 -- -- 
4791606562143607808 4791615873632699648  3.3  8.5   7   39  213  40.9 -- -- 
6668505827387227264 6668543554379324672  5.3  6.6   2 3544 2149  99.3 -- -- 
5239895629092870144 5241109696086432640  5.1  7.1  59    5 1459   4.9 -- -- 
5042466530932544640 5134682571154348928  8.7  6.2   4   65  213  55.4 -- -- 
3840392939553534464 3846694756088292480  6.3  8.5   2 3207 1605  74.8 -- -- 
2915273476669581440 2915960499638427264  4.9  7.2   3  138  402  57.6 -- -- 
5317797574106967552 5318536995675325952  7.8  6.3  36    9 1267  14.4 -- -- 
2133787547048883456 2133947629070666368  8.6  7.5   2 1938 2448 119.0 -- -- 
  63730305286697600   66724447247218048  8.2  6.6 151    0  228  11.7 -- -- 
  52548237672091392  145325544220443904  2.0  7.3 118    2  276   5.9 -- -- 
6243839046209540864 6245692616655920896  4.3  6.2  72    4 2132  73.1 -- -- 
 145325544220443904  145373372976256512  6.9  8.6 118    2  276   4.9 -- -- 
 441405917997620352  441585722510785408  3.3  6.4 125    1  210   3.6 -- -- 
  64928601162063744   65199974375696512  5.1  7.3 151    0  228   5.8 -- -- 
6049646051290258560 6242176653347275136  7.7  6.2  72    4 2132  75.1 -- -- 
  37136829861862272 3303308241261654912  8.5  6.6   6   47  228  40.6 -- -- 
6053025503361337984 6054163291733782016  3.1  7.1 114    3 1578  28.4 -- -- 
4582398773875180672 4584032235839087104  5.7  6.0   2  684 2427 127.0 -- -- 
 249282341403694592  441815142481538048  6.1  6.1 125    1  210   4.0 -- -- 
5969286766508518656 5970825120714866816  8.3  6.1  25   11 2149  59.8 -- -- 
  65199974375696512   69883412873314816  3.5  6.4 151    0  228   1.4 -- -- 
 244833442477429888  248012439830949760  5.0  6.0   3  135  210  25.4 -- -- 
5438524775470564224 5439452797643828992  6.1  6.2   2 1374 1276  50.4 -- -- 
  69948249699646720   70049473488842112  3.3  7.3 151    0  228   7.0 -- -- 
5367235190303871360 5387741838075518208  9.5  6.3   2 2667 1267  46.3 -- -- 
 441405917997620352  441436601243976448  7.5  6.6 125    1  210   3.6 -- -- 
  66969672699893248   69883412873314816  6.8  6.3 151    0  228   6.9 -- -- 
 517399007749040512  518234430427435264  7.0  6.4   2 3846 1803  55.8 -- -- 
5960082273634988160 5960082376714202880  2.3  6.6   2  513 1578  92.0 -- -- 
4264986500134128640 4267387386851622400  9.8  7.0   2  367 1803  81.7 -- -- 
 436536249718223744  441901694662492928  6.2  6.5 125    1  210   6.5 -- -- 
6300058553206254976 6323910877423727616  6.8  8.8   2  989 1605  72.0 -- -- 
  64979728452744192   69811944617410688  3.4  7.1 151    0  228   5.0 -- -- 
 556400231374141184  557578495522473856  5.2  6.4   2 3695 1803  69.1 -- -- 
4838343159308827904 4839139549323995648  6.2  6.1   3  176  213  25.2 C  C  
 249180567856242048  441780164270958464  6.2  6.2 125    1  210   3.3 -- -- 
  66453486350431232   66729876086786944  4.6  7.8 151    0  228   2.5 -- -- 
  63289916519862656   64313218247427456  4.8  7.4 151    0  228  12.4 -- -- 
2194530547964638592 2194569065230342272  7.0  6.2   2 1198 2795  80.7 -- -- 
 661419259867455488  661779796602531712  7.5  6.5  58    6 1195   4.1 -- -- 
4476477321213923584 4476552534681194112  1.9  7.1   2 2187 2168  62.8 -- -- 
  65194648616227840   66960258131598720  5.0  6.9 151    0  228   4.9 -- -- 
  64808204638390912   69904097435804672  6.5  7.0 151    0  228   8.3 -- -- 
4835464878384767872 4838471114974203520  9.0  6.3   2 3333  213  67.9 -- -- 
5897614860534535936 5897785594070702336  3.8  6.5   2 4067 1720  64.8 -- -- 
5843127153070819456 5843610732026012032  9.6  6.4   2 3774 1459  34.9 -- -- 
 249180396057550848  249197404128036480  1.0  6.1 125    1  210   2.8 -- -- 
4741075790870882432 4742170595213464576  8.6  6.1   2 3205  213 125.8 -- -- 
  64449729487990912   64879398017459072  6.5  6.2 151    0  228   8.6 -- -- 
  64979728452744192   70252676982016768  6.9  6.8 151    0  228   5.0 -- -- 
3953772070349122816 4008525241151501824  4.5  7.2  47    8 1605   4.7 -- -- 
 436461517287294464  441480409912850432  7.8  6.5 125    1  210   7.8 -- -- 
4582888606305490176 4582888606305490432  0.8  8.0   2  781 1803  81.2 -- -- 
4513425894068473472 4513425928428211712  5.1  6.5   2 1883 2132 100.2 -- -- 
5318069600154320384 5318229269859699072  3.7  6.4  36    9 1267  17.1 -- -- 
 249408682161136000  441560399381392768  6.0  8.3 125    1  210   6.8 -- -- 
  51619115986889472   53783848223326976  9.2  6.3 151    0  228   9.9 -- -- 
  51619115986889472   64671899556831360  9.1  6.6 151    0  228   9.9 -- -- 
3251489632637909632 3261534083670662784  9.9  6.6   2 4247  402  44.2 C  C  
1906232036449410176 1906913218262781184  9.5  6.0   2 2900 2905 105.8 C  C  
5239637759256457472 5241132579670834816  1.7  8.0  59    5 1459   3.2 C  C  
 552604545436353920  553936913011185408  4.6  7.7   3  265 1803  58.1 C  C  
5516601267960729600 5522279283444401152  8.3  6.2   2 1539 1276  30.2 -- -- 
6050945742755793408 6242650611580734976  8.3  6.7  72    4 2132  71.1 -- -- 
1508487450312401280 1513179581824321408  6.9  6.9   2 4084 1605  46.4 -- -- 
2452210203261667200 5139274166070939392  8.4  6.6   2 4078  213  58.1 -- -- 
  65292230272755200   67680850564641792  7.3  6.3 151    0  228   6.4 -- -- 
1515183407406383232 3961625675748323840  8.5  7.1   2 1969 1605  28.7 -- -- 
  65677368580114560   68254245878512384  8.3  6.9 151    0  228  12.9 -- -- 
5239891677722958976 5251880511990665216  2.0  6.2  59    5 1459   1.9 -- -- 
  64114241002810496   65194648616227840  5.0  6.7 151    0  228   4.5 -- -- 
  66570549979009280   66581957412169728  2.7  6.3 151    0  228   8.3 -- -- 
